Grid-cell,Longitude,Latitude
441,35.25,32.25
442,35.75,32.25
443,36.25,32.25
444,36.75,32.25
445,37.25,32.25
446,37.75,32.25
447,38.25,32.25
448,38.75,32.25
449,39.25,32.25
450,39.75,32.25
451,40.25,32.25
452,40.75,32.25
453,41.25,32.25
454,41.75,32.25
455,42.25,32.25
456,42.75,32.25
457,43.25,32.25
458,43.75,32.25
459,44.25,32.25
460,44.75,32.25
461,0.25,32.75
462,0.75,32.75
463,1.25,32.75
464,1.75,32.75
465,2.25,32.75
466,2.75,32.75
467,3.25,32.75
468,3.75,32.75
469,4.25,32.75
470,4.75,32.75
471,5.25,32.75
472,5.75,32.75
473,6.25,32.75
474,6.75,32.75
475,7.25,32.75
476,7.75,32.75
477,8.25,32.75
478,8.75,32.75
479,9.25,32.75
480,9.75,32.75
481,10.25,32.75
482,10.75,32.75
483,11.25,32.75
484,11.75,32.75
485,12.25,32.75
486,12.75,32.75
487,13.25,32.75
488,13.75,32.75
489,21.25,32.75
490,21.75,32.75
491,22.25,32.75
492,22.75,32.75
493,35.75,32.75
494,36.25,32.75
495,36.75,32.75
496,37.25,32.75
497,37.75,32.75
498,38.25,32.75
499,38.75,32.75
500,39.25,32.75
501,39.75,32.75
502,40.25,32.75
503,40.75,32.75
504,41.25,32.75
505,41.75,32.75
506,42.25,32.75
507,42.75,32.75
508,43.25,32.75
509,43.75,32.75
510,44.25,32.75
511,44.75,32.75
512,0.25,33.25
513,0.75,33.25
514,1.25,33.25
515,1.75,33.25
516,2.25,33.25
517,2.75,33.25
518,3.25,33.25
519,3.75,33.25
520,4.25,33.25
521,4.75,33.25
522,5.25,33.25
523,5.75,33.25
524,6.25,33.25
525,6.75,33.25
526,7.25,33.25
527,7.75,33.25
528,8.25,33.25
529,8.75,33.25
530,9.25,33.25
531,9.75,33.25
532,10.25,33.25
533,10.75,33.25
534,11.25,33.25
535,35.75,33.25
536,36.25,33.25
537,36.75,33.25
538,37.25,33.25
539,37.75,33.25
540,38.25,33.25
541,38.75,33.25
542,39.25,33.25
543,39.75,33.25
544,40.25,33.25
545,40.75,33.25
546,41.25,33.25
547,41.75,33.25
548,42.25,33.25
549,42.75,33.25
550,43.25,33.25
551,43.75,33.25
552,44.25,33.25
553,44.75,33.25
554,0.25,33.75
555,0.75,33.75
556,1.25,33.75
557,1.75,33.75
558,2.25,33.75
559,2.75,33.75
560,3.25,33.75
561,3.75,33.75
562,4.25,33.75
563,4.75,33.75
564,5.25,33.75
565,5.75,33.75
566,6.25,33.75
567,6.75,33.75
568,7.25,33.75
569,7.75,33.75
570,8.25,33.75
571,8.75,33.75
572,9.25,33.75
573,9.75,33.75
574,10.25,33.75
575,35.75,33.75
576,36.25,33.75
577,36.75,33.75
578,37.25,33.75
579,37.75,33.75
580,38.25,33.75
581,38.75,33.75
582,39.25,33.75
583,39.75,33.75
584,40.25,33.75
585,40.75,33.75
586,41.25,33.75
587,41.75,33.75
588,42.25,33.75
589,42.75,33.75
590,43.25,33.75
591,43.75,33.75
592,44.25,33.75
593,44.75,33.75
594,0.25,34.25
595,0.75,34.25
596,1.25,34.25
597,1.75,34.25
598,2.25,34.25
599,2.75,34.25
600,3.25,34.25
601,3.75,34.25
602,4.25,34.25
603,4.75,34.25
604,5.25,34.25
605,5.75,34.25
606,6.25,34.25
607,6.75,34.25
608,7.25,34.25
