STARTcounty,area,pla,NrGentry,latitude,longitude,valordummy,mill,lLStax_pc,perc_catholics_1800,cutoff1,cutoff2
BEDFORDSHIRE,12.559881,RISELEY,0,503824.91,262755.63,1,0,0,0,4,4
BEDFORDSHIRE,10.450679,HAYNES,0,508511.56,241102.83,1,0,2.786382,0,4,4
BEDFORDSHIRE,12.779535,WILSTEAD,3,506925.69,243850.48,0,0,0,0,4,4
BEDFORDSHIRE,17.425602,MARSTON MORETAINE,1,499121.25,241988.09,1,0,0,0,4,4
BEDFORDSHIRE,16.001768,CRANFIELD,2,495269.72,242624.41,1,0,0,0,4,4
BEDFORDSHIRE,3.512851,SALFORD,0,492653.69,239782.73,1,0,3.4978242,.067647062,4,4
BEDFORDSHIRE,3.55584525,HOLCOT,0,494703.41,239266.7,1,0,3.7297015,0,4,4
BEDFORDSHIRE,7.5019955,ASPLEY GUISE,0,494053.59,236520.66,0,0,3.7781105,0,4,4
BEDFORDSHIRE,6.419572,HUSBORNE CRAWLEY,0,496032.38,236248.84,1,0,2.7797744,0,4,4
BEDFORDSHIRE,9.220715999999999,RIDGMONT,2,497525.53,237098,1,0,0,0,4,4
BEDFORDSHIRE,14.38677959375,KEYSOE,0,509583.03,262606.78,1,0,0,0,4,4
BEDFORDSHIRE,10.30425,LIDLINGTON,0,498390,239157.67,1,0,0,0,4,4
BEDFORDSHIRE,7.188466,MILLBROOK,1,501178.41,238296.55,0,0,0,0,4,4
BEDFORDSHIRE,7.630918,AMPTHILL,3,503299.16,238192.08,0,0,0,.00059241708,4,4
BEDFORDSHIRE,10.516223,MAULDEN,0,505910.97,237867.42,0,0,0,0,4,4
BEDFORDSHIRE,9.730437999999999,CLOPHILL,0,509432.5,238222.2,1,0,3.2251718,0,4,4
BEDFORDSHIRE,3.8897625,CAMPTON,2,512393.09,238065.45,1,0,0,.048997771,4,4
BEDFORDSHIRE,.63569525,SHEFFORD,2,514078.94,238869.59,1,0,0,.028833551,4,4
BEDFORDSHIRE,1.514572375,SHEFFORD HARDWICK,0,513948.59,239776.67,0,0,0,0,4,4
BEDFORDSHIRE,5.815373,CHICKSANDS,0,511340.59,239745.22,1,0,0,0,4,4
BEDFORDSHIRE,10.809603,SOUTHILL,3,513319.94,241733.52,1,0,0,0,4,4
BEDFORDSHIRE,7.549953125,PERTENHALL,0,509924.91,265552.09,1,0,0,0,4,4
BEDFORDSHIRE,1.359387,STANFORDBURY,0,514883.63,240401.45,1,0,0,,4,4
BEDFORDSHIRE,5.765775,STANFORD,1,516008.72,241526.56,1,0,0,0,4,4
