STARTcounty,agr_share_1831,NrGentry,mills,copyhold_count_1850,market_1600,valordummy,mill,perc_catholics_1800,ind_share_1831
BERKSHIRE,.60215056,1,0,,,0,0,0,.20430107
BERKSHIRE,.15151516,1,0,,1,0,0,0,.55681819
BERKSHIRE,.82608694,1,0,,,0,0,0,0
BERKSHIRE,.59065932,0,1,,0,1,1,0,.24450549
BERKSHIRE,.73593074,0,0,,,1,0,0,.1991342
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.71144277,2,0,,,0,0,0,.17412935
BERKSHIRE,.84090906,0,0,,0,0,0,0,.045454547
BERKSHIRE,.70329672,0,0,,,0,0,0,.2857143
BERKSHIRE,.75555557,1,0,,,0,0,0,.14814815
BERKSHIRE,.36966291,2,0,,0,0,0,.0021834061,.34606743
BERKSHIRE,.80487806,0,0,,,0,0,0,.12195122
BERKSHIRE,,1,0,,,1,0,,
BERKSHIRE,.032558139,4,0,,1,1,0,.0025172008,.52026576
BERKSHIRE,.2857143,2,0,,,0,0,0,.2857143
BERKSHIRE,.4859038,3,1,,0,0,1,.00079936051,.24046434
BERKSHIRE,.472,3,0,,,0,0,.0018850141,.33199999
BERKSHIRE,.75789475,1,0,,,0,0,.0057306592,.15789473
BERKSHIRE,.72000003,2,0,,,0,0,.055555556,.22400001
BERKSHIRE,,0,0,,,1,0,,
BERKSHIRE,.61509436,1,0,,0,1,0,.0020000001,.24150944
BERKSHIRE,.67741936,2,0,,,0,0,.06666667,.19354838
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.74603176,0,0,,,1,0,.20847811,.13492064
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,.63999999,0,0,,,0,0,0,.18000001
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.66233766,3,0,,,0,0,.088912137,.15151516
BERKSHIRE,.4893617,1,0,,,0,0,0,.14893617
BERKSHIRE,.64583331,0,0,,,0,0,0,.16666667
BERKSHIRE,.46268657,1,0,,,0,0,.25641027,.23880596
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,1,0,,,0,0,,
BERKSHIRE,.74418604,0,0,,,0,0,0,.069767445
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.66666669,1,0,,,0,0,0,.11111111
BERKSHIRE,.70915031,2,0,,,0,0,0,.13725491
BERKSHIRE,.53684211,1,0,,,0,0,0,.2631579
BERKSHIRE,,2,0,,,0,0,,
BERKSHIRE,.82608694,2,0,,,1,0,0,0
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,4,0,3,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.65217394,1,0,,,0,0,0,0
BERKSHIRE,.051299132,0,.3333333432674408,,1,1,1,.0022065314,.77614921
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.051886793,0,.3333333432674408,,,0,1,.0032114624,.53584903
BERKSHIRE,.073770493,0,.3333333432674408,,,0,1,0,.37377051
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.73305082,2,0,,,0,0,.0041279672,.088983051
BERKSHIRE,.63917524,3,0,,,0,0,.005509642,.092783503
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.42192692,0,0,,,0,0,0,.29235882
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,,0,0,,,0,0,,
BERKSHIRE,.64705884,0,0,,,0,0,0,.10588235
BERKSHIRE,.5865922,0,0,1,,1,0,0,.24022347
BERKSHIRE,.52083331,0,0,3,,0,0,0,.22916667
BERKSHIRE,.73333335,2,0,,,1,0,.0037313432,.16
BERKSHIRE,.52238804,0,0,1,,0,0,0,.37313432
BERKSHIRE,.58273381,0,0,1,,0,0,0,.1438849
