STARTcounty,area,pla,agr_share_1831,latitude,longitude,valordummy,lLStax_pc,ind_share_1831,cutoff1,cutoff2
BEDFORDSHIRE,11.041773,NORTHILL,.90047395,515838.38,245947.39,1,0,.07109005,4,4
BEDFORDSHIRE,5.692291,THORNCOTE,.92537314,514908.75,247660.42,1,0,.014925373,4,4
BEDFORDSHIRE,13.670936,OLD WARDEN,.67948717,513882.09,244217.64,1,0,.083333336,4,4
BEDFORDSHIRE,12.559881,RISELEY,.55026454,503824.91,262755.63,1,0,.33333334,4,4
BEDFORDSHIRE,10.450679,HAYNES,.80392158,508511.56,241102.83,1,2.786382,.11111111,4,4
BEDFORDSHIRE,12.779535,WILSTEAD,.828125,506925.69,243850.48,0,0,.14583333,4,4
BEDFORDSHIRE,17.425602,MARSTON MORETAINE,.80232561,499121.25,241988.09,1,0,.10465116,4,4
BEDFORDSHIRE,16.001768,CRANFIELD,.63,495269.72,242624.41,1,0,.24333334,4,4
BEDFORDSHIRE,3.512851,SALFORD,.76249999,492653.69,239782.73,1,3.4978242,.1875,4,4
BEDFORDSHIRE,3.55584525,HOLCOT,.9375,494703.41,239266.7,1,3.7297015,0,4,4
BEDFORDSHIRE,7.5019955,ASPLEY GUISE,.4573991,494053.59,236520.66,0,3.7781105,.38116592,4,4
BEDFORDSHIRE,6.419572,HUSBORNE CRAWLEY,.60736197,496032.38,236248.84,1,2.7797744,.22699386,4,4
BEDFORDSHIRE,9.220715999999999,RIDGMONT,.69515669,497525.53,237098,1,0,.18233618,4,4
BEDFORDSHIRE,14.38677959375,KEYSOE,.75925928,509583.03,262606.78,1,0,.098765433,4,4
BEDFORDSHIRE,10.30425,LIDLINGTON,.73863637,498390,239157.67,1,0,.19886364,4,4
BEDFORDSHIRE,7.188466,MILLBROOK,.89147288,501178.41,238296.55,0,0,.093023255,4,4
BEDFORDSHIRE,7.630918,AMPTHILL,.35768262,503299.16,238192.08,0,0,.52896726,4,4
BEDFORDSHIRE,10.516223,MAULDEN,.63898915,505910.97,237867.42,0,0,.23104693,4,4
BEDFORDSHIRE,9.730437999999999,CLOPHILL,.59836066,509432.5,238222.2,1,3.2251718,.19262294,4,4
BEDFORDSHIRE,3.8897625,CAMPTON,.76146787,512393.09,238065.45,1,0,.16513762,4,4
BEDFORDSHIRE,.63569525,SHEFFORD,.14285715,514078.94,238869.59,1,0,.5714286,4,4
BEDFORDSHIRE,1.514572375,SHEFFORD HARDWICK,.5,513948.59,239776.67,0,0,0,4,4
BEDFORDSHIRE,5.815373,CHICKSANDS,.7647059,511340.59,239745.22,1,0,0,4,4
BEDFORDSHIRE,10.809603,SOUTHILL,.62427747,513319.94,241733.52,1,0,.0867052,4,4
BEDFORDSHIRE,7.549953125,PERTENHALL,.71084338,509924.91,265552.09,1,0,.12048193,4,4
BEDFORDSHIRE,1.359387,STANFORDBURY,,514883.63,240401.45,1,0,,4,4
BEDFORDSHIRE,5.765775,STANFORD,.67032969,516008.72,241526.56,1,0,.14285715,4,4
BEDFORDSHIRE,5.308306,BROOM,.76623374,517237.53,242748.48,0,0,.18181819,4,4
BEDFORDSHIRE,5.7567345,CLIFTON,.67114097,516448.25,239068.42,1,0,.28859061,4,4
BEDFORDSHIRE,9.607267,HENLOW,.68518519,517595.75,237234.48,1,0,.22222222,4,4
BEDFORDSHIRE,8.396508000000001,LANGFORD,.84049082,519416.63,240183.91,1,0,.14723927,4,4
BEDFORDSHIRE,2.67212925,ASTWICK,.85000002,521395.28,239188.08,1,0,.050000001,4,4
BEDFORDSHIRE,9.490479000000001,ARLESEY,.60645163,519432.84,235780.67,0,0,.14193548,4,4
BEDFORDSHIRE,9.651617999999999,STOTFOLD,.71938777,521399.84,236142.14,1,0,.26530612,4,4
BEDFORDSHIRE,2.386063125,HOLWELL,.81578946,519178.19,233677.75,1,0,.10526316,4,4
BERKSHIRE,4.7003115,WYTHAM,.61290324,446903.28,209051.55,0,4.021091,.20967741,4,4
BERKSHIRE,.276531,CHANDLINGS FARM,,450741.09,201291.13,0,0,,4,4
BERKSHIRE,12.977297125,UFFINGTON,.59027779,430645.03,187832,1,0,.22916667,4,4
BERKSHIRE,8.13746096875,WOOLSTONE,.70422536,429445.69,190594.3,1,0,.14084508,4,4
BERKSHIRE,5.8706965,COMPTON BEAUCHAMP,.80000001,428346,186145.34,0,0,0,4,4
BERKSHIRE,4.161904,ASHBURY,.59803921,427000,184150,0,0,.20588236,4,4
BERKSHIRE,3.91512125,ODSTONE,1,427577.19,185824.2,0,0,0,4,4
BERKSHIRE,6.725998,KINGSTONE WINSLOW,,426871.03,185675.55,0,0,,4,4
BERKSHIRE,7.840246,IDSTONE,.77083331,426539.75,183360.63,0,0,.020833334,4,4
BERKSHIRE,19.745866,BLAGRAVE,.67346936,432486.41,175797.11,0,4.5345526,.071428575,4,4
BERKSHIRE,8.618772,EASTBURY AND BOCKHAMPTON,,435066.22,178525.66,0,3.3653235,,4,4
BERKSHIRE,14.219736,UPPER LAMBOURN,.63461536,430766.69,181202.05,0,0,.11538462,4,4
BERKSHIRE,17.580144,CHIPPING LAMBOURN,.4528302,432821.09,180317.33,1,4.0413795,.2610063,4,4
BERKSHIRE,5.2133275,CHILTON FOLIAT,,433771.84,171341.42,0,3.9963641,,4,4
BERKSHIRE,17.944476,EAST GARSTON,.74050635,436567.63,177127.91,0,3.3829768,.1392405,4,4
BERKSHIRE,5.294838,SUNNINGWELL,.86666667,449761.19,200705.36,0,3.3851433,.1,4,4
BERKSHIRE,8.784390999999999,FAWLEY,.91666669,438968.69,180457.77,0,3.6744907,.06666667,4,4
BERKSHIRE,13.667638,CHADDLEWORTH,.70909089,441067.22,178337.27,0,3.1829438,.14545454,4,4
BERKSHIRE,8.2679005,BRIGHTWALTON,.76923078,442701.22,179758.08,1,0,.16239317,4,4
BERKSHIRE,7.597455375,FARNBOROUGH,.78333336,445927.78,182135.2,0,3.7841897,.13333334,4,4
BERKSHIRE,2.79745425,CATMORE,.8888889,444924.19,180311.38,0,0,.055555556,4,4
BERKSHIRE,8.404665,PEASEMORE,,445737.09,177662.73,0,3.4162352,,4,4
BERKSHIRE,8.1130575,BEEDON,.91358024,447857.16,178117.34,1,4.0271358,.061728396,4,4
BERKSHIRE,12.267176,WEST ILSLEY,.64150941,446953.38,182636.27,1,3.7992275,.094339624,4,4
BERKSHIRE,12.289382,EAST ILSLEY,.52941179,449232.13,180910.25,0,0,.23529412,4,4
BERKSHIRE,15.190093,COMPTON,.79617834,452163.88,179955.73,0,3.7322981,.089171976,4,4
BERKSHIRE,1.223023375,KENNINGTON,,452404.13,202108.64,0,3.5804276,,4,4
BERKSHIRE,7.5601835,ALDWORTH,.93506491,454830.66,180038.7,1,4.3880272,0,4,4
BERKSHIRE,5.690673,MOULSFORD,.625,457732.81,182946.67,0,3.4706581,.14583333,4,4
BERKSHIRE,14.742153,STREATLEY,.74675328,457796.44,180451.41,1,3.8278916,.15584415,4,4
BERKSHIRE,12.696649,BASILDON,.67630059,460038.56,177593.2,0,3.9702919,.21387284,4,4
BERKSHIRE,8.365784,ASHAMPSTEAD,.8877551,457037.94,176551.19,0,3.3571022,.1122449,4,4
BERKSHIRE,5.6283755,YATTENDON,.61904764,454637.16,174910.95,0,4.1457334,.25396827,4,4
BERKSHIRE,24.445624,HAMPSTEAD NORREYS,.68333334,452071.28,175548.55,0,4.0366511,.11666667,4,4
BERKSHIRE,5.4236784453125,SHOTTESBROOK,,486309.06,178920.53,1,3.4446826,,4,4
BERKSHIRE,14.313722,BINFIELD,.64041096,484979.81,171821.98,0,3.1714532,.1609589,4,4
BERKSHIRE,6.7478365,CHIEVELEY,.83333331,447228.28,174309.55,0,3.6531289,.12592593,4,4
BERKSHIRE,6.091706,OARE,,449629.63,174554.61,0,0,,4,4
BERKSHIRE,5.2456095,CURRIDGE,,449097.72,172306.39,0,3.583519,,4,4
BERKSHIRE,3.51579875,SNELSMORE,,447310.41,171592.83,0,0,,4,4
BERKSHIRE,8.616332999999999,WINTERBOURNE,.57954544,445340.34,172801.89,0,3.8281581,.15909091,4,4
BERKSHIRE,7.179911,LECKHAMPSTEAD,.71839082,443866.41,176333.45,0,4.5296626,.097701147,4,4
BERKSHIRE,11.358001,BOXFORD,.62576687,443252.81,172019.28,0,3.4179394,.17177914,4,4
BERKSHIRE,20.988776,WELFORD,.66548043,440680.72,172361.59,0,3.3408253,.16014235,4,4
BERKSHIRE,4.308312,EAST SHEFFORD,,438783,174390.53,0,3.2708356,,4,4
BERKSHIRE,9.066262999999999,WEST SHEFFORD,.69444442,437777.78,175080.09,1,4.2098708,.1875,4,4
BERKSHIRE,2.57252175,HUNGERFORD,.22857143,434871.34,167843.69,1,0,.17142858,4,4
BERKSHIRE,10.60805,RADLEY,.80000001,452220.88,199277.61,0,4.4337559,.033333335,4,4
BERKSHIRE,.86409709375,ST HELEN,.10099338,452186.06,197208.36,0,4.5933042,.4312914,4,4
BERKSHIRE,5.6993855,"EDINGTON, HIDDEN AND NEWTOWN",.60215056,435159.94,170900.38,0,3.6194165,.20430107,4,4
BERKSHIRE,5.0939235,SANDEN FEE,.15151516,433408.47,166615.72,0,3.5830138,.55681819,4,4
BERKSHIRE,4.826801,AVINGTON,.82608694,436971.13,169760.95,0,4.5819016,0,4,4
BERKSHIRE,30.9495435,KINTBURY,.59065932,437969.47,167695.02,1,4.6053247,.24450549,4,4
BERKSHIRE,6.82508,SHALBOURNE,.73593074,431629.31,164553.09,1,4.4439158,.1991342,4,4
BERKSHIRE,7.646399,OXENWOOD,,430824.75,159656.53,0,0,,4,4
BERKSHIRE,11.20746131054688,INKPEN,.71144277,436318.19,168163.88,0,3.8201907,.17412935,4,4
BERKSHIRE,5.9036415,WEST WOODHAY,.84090906,439092.44,163011.81,0,4.1309671,.045454547,4,4
BERKSHIRE,7.4597655,HAMSTEAD MARSHALL,.70329672,441397.19,165848.83,0,3.7637112,.2857143,4,4
