STARTcounty,hundred,area,pla,agr_share_1831,NrGentry,mills,fivemilegrid_id,tenmilegrid_id,copyhold_count_1850,market_1600,valordummy,mill,lLStax_pc,perc_catholics_1800,ind_share_1831,North_South,East_West
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),11.684664,BONDGATE,,0,0,10459,2630,,1,0,0,0,,,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),.194054,DARLINGTON BOROUGH,.048983365,4,4,10459,2630,,,1,1,0,.0097970609,.52218115,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),.033720765625,PREBEND AND PRIESTGATE,,0,0,10459,2630,,,0,0,0,,,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),1.229932375,BRANKIN MOOR,,0,0,10460,2630,,,0,0,0,,,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),6.541916,BLACKWELL,.60317463,1,0,10459,2630,,,0,0,0,.30996311,.15873016,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),1.416432625,OXNEY,,1,0,10355,2578,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),9.918514999999999,HURWORTH,.24696356,1,0,10356,2578,,,1,0,0,.0068829893,.26720649,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),6.474538,NEASHAM,.43157893,0,0,10356,2578,,,1,0,0,.0091863517,.12631579,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),2.9999905,SOCKBURN,,0,0,10357,2579,,,0,0,0,,,1,0
DURHAM,ALLERTONSHIRE,4.8533035,LOW DINSDALE,,2,0,10461,2631,,,1,0,0,,,1,0
DURHAM,CHESTER WARD (WEST DIV),1.24642025,STELLA,.171875,0,0,11497,2889,,,0,0,0,.94813275,.2734375,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),5.452473,MORTON PALMS,.8888889,0,0,10460,2630,,,0,0,0,.060240965,.11111111,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),8.580899499999999,HAUGHTON,.32413793,0,1,10564,2630,,,1,1,0,.014084507,.22068965,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),5.876414,WHESSOE,.5925926,0,0,10563,2630,,,0,0,0,.040650405,.14814815,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),6.906111,COATHAM MUNDEVILLE,.59322035,0,0,10563,2630,,,1,0,0,.022222223,.15254237,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),6.239321,BARMPTON,.80000001,0,0,10564,2630,,,0,0,0,.055555556,.079999998,1,0
DURHAM,DARLINGTON WARD (SOUTH EAST DIV),2.516836,GREAT BURDON,,0,0,10460,2630,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),8.662017000000001,SADBERGE,.45652175,2,0,10565,2631,,,1,0,0,.012406948,.30434781,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),8.98,MIDDLETON ST GEORGE,.52777779,0,0,10461,2631,,,0,0,0,0,.22222222,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),1.454765125,GOOSEPOOL,,0,0,10461,2631,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),14.7094485625,LONG NEWTON,.79268295,3,0,10566,2631,,,0,0,0,.038338657,.17073171,1,0
DURHAM,CHESTER WARD (MID DIV),20.654395390625,TANFIELD,.25287357,1,0,11290,2837,,,0,0,0,,.22988506,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),2.58296775,COATHAM STOB,,0,0,10462,2631,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),4.3024355,NEWSHAM,1,1,0,10461,2631,,,0,0,0,.15517241,0,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),1.929928875,TRAFFORD HILL,,0,0,10357,2579,,,0,0,0,,,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),7.3428345,AISLABY,.95238096,2,0,10462,2631,,,0,0,0,.062937066,.047619049,1,0
DURHAM,STOCKTON WARD (SOUTH WEST DIV),6.3041655,EGGLESCLIFFE,.51456308,2,0,10462,2631,,,0,0,0,.021226415,.30097088,1,0
