STARTcounty,area,pla,latitude,longitude,valordummy,LS_pc_change,pc_change1525_1086,pc_change1525_1066,pc_change1332_1086,pc_change1332_1066,pc_change1086_1066,cutoff1,cutoff2
BEDFORDSHIRE,11.471423,GREAT BARFORD,512351.72,252841.23,1.443785,-.40523645,-.16540518,-.05233968,-.15427217,-.14924979,-.045015145,4,4
BEDFORDSHIRE,9.022734,RENHOLD,509310.5,252415.02,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,10.461912,GOLDINGTON,506830.34,251438.78,1.443785,-.40523645,-.16540518,-.05233968,-.17792228,-.18843237,-.10899638,4,4
BEDFORDSHIRE,1.244233125,"BEDFORD, ST CUTHBERT",506042.94,250058.8,-.69258142,,,,,,,4,4
BEDFORDSHIRE,2.24653575,"BEDFORD, ST PETER",505275.47,251055.95,-.69258142,,,,,,,4,4
BEDFORDSHIRE,.127960546875,"BEDFORD, ST PAUL",505209.44,249758.38,-.69258142,,,,,,,4,4
BEDFORDSHIRE,3.127954,"BEDFORD, ST PAUL",504209.88,250223.59,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,.214183703125,"BEDFORD, ST MARY",505582.5,248775.33,-.69258142,,,,,,,4,4
BEDFORDSHIRE,1.831222625,"BEDFORD, ST MARY",505017.91,249410.3,1.443785,,,,,,,4,4
BEDFORDSHIRE,.182139984375,"BEDFORD, ST JOHN",505396.69,249402.19,-.69258142,,,,,,,4,4
BEDFORDSHIRE,.0139144765625,"BEDFORD, ST JOHN",505080.56,249209.28,-.69258142,,,,,,,4,4
BEDFORDSHIRE,10.704371,MELCHBOURNE,502761.5,265548.38,1.443785,-.40523645,-.16540518,-.05233968,-.13857932,-.079389937,.057637408,4,4
BEDFORDSHIRE,6.5406805,BIDDENHAM,502305.22,249744.48,1.443785,,-.16540518,-.05233968,,,-.11624607,4,4
BEDFORDSHIRE,20.29945,KEMPSTON,501504.16,247113.47,1.443785,-.17687647,-.14693202,-.048212159,-.17211187,-.17689937,-.076643221,4,4
BEDFORDSHIRE,15.335123,WOOTTON,500610.81,244312.52,1.443785,-.40523645,-.16540518,-.05233968,-.14433376,-.16441211,-.10134175,4,4
BEDFORDSHIRE,6.5890435,ELSTOW,505047.16,246355.78,1.443785,-.40523645,-.16540518,-.05233968,.46608913,.12630191,-.12372863,4,4
BEDFORDSHIRE,10.112112,CARDINGTON,509366.72,247261.5,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,11.455248,EASTCOTTS,508121.66,246019.02,-.69258142,-.40523645,-.16540518,-.05233968,-.13134849,-.15209775,-.094954208,4,4
BEDFORDSHIRE,8.599411999999999,COPLE,510741.03,248024.06,1.443785,-.40523645,-.16540518,-.05233968,-.1713005,-.16533715,-.033789329,4,4
BEDFORDSHIRE,6.6892725,WILLINGTON,511911.75,249015.08,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,15.282788,SANDY,518163.34,249562.11,1.443785,-.40523645,-.16540518,-.05233968,-.16742863,-.17619802,-.088414565,4,4
BEDFORDSHIRE,2.2212725,BEESTON,517025.72,247808.84,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,7.0970165,KNOTTING,500238.25,262719.72,-.69258142,-.40523645,-.16540518,-.05233968,-.10360448,-.10816895,-.064435884,4,4
BEDFORDSHIRE,5.540357,EVERTON,519006.72,251369.39,1.443785,,-.16540518,-.05233968,,,-.12547253,4,4
BEDFORDSHIRE,10.861104,POTTON,523004.09,249671.22,1.443785,-.40523645,-.16540518,-.05233968,-.1412815,-.12111086,-.017027648,4,4
BEDFORDSHIRE,8.997820000000001,SUTTON,522073.63,247172.67,-.69258142,-.40523645,-.16540518,-.05233968,-.12421387,-.15029465,-.10029492,4,4
BEDFORDSHIRE,4.8300095,COCKAYNE HATLEY,526072.5,249461.09,1.443785,-.40523645,-.16540518,-.05233968,-.16135971,-.14206634,.00041553882,4,4
BEDFORDSHIRE,6.8357715,WRESTLINGWORTH,525659.88,247167.09,1.443785,-.40523645,,,,,,4,4
BEDFORDSHIRE,5.072144,EYEWORTH,525288.31,245255.77,-.69258142,-.40523645,,,,,,4,4
BEDFORDSHIRE,10.631086,DUNTON,523831.69,243656.09,1.443785,-.40523645,-.16540518,-.05233968,-.16975273,-.17972328,-.094941959,4,4
BEDFORDSHIRE,18.694528,BIGGLESWADE,520334.59,244062.72,1.443785,-.40523645,-.16540518,-.05233968,-.18174353,-.17599499,-.022854665,4,4
BEDFORDSHIRE,11.041773,NORTHILL,515838.38,245947.39,1.443785,-.40523645,-.16540518,-.05233968,-.16157652,-.17976621,-.11290616,4,4
BEDFORDSHIRE,5.692291,THORNCOTE,514908.75,247660.42,1.443785,,-.16540518,-.05233968,,,-.13480754,4,4
BEDFORDSHIRE,13.670936,OLD WARDEN,513882.09,244217.64,1.443785,-.40523645,-.16540518,-.05233968,-.18531705,-.15943152,.12477772,4,4
BEDFORDSHIRE,12.559881,RISELEY,503824.91,262755.63,1.443785,-.40523645,-.16540518,-.05233968,-.092210241,-.1347152,-.10726862,4,4
BEDFORDSHIRE,10.450679,HAYNES,508511.56,241102.83,1.443785,-.20252137,-.14975637,-.04817722,-.17354962,-.1732063,-.055716358,4,4
