STARTcounty,area,pla,latitude,longitude,NrPatents,WheatYield,valordummy,enclosed,lLStax_pc,thresh_machines,cutoff1,cutoff2
BEDFORDSHIRE,7.630918,AMPTHILL,503299.16,238192.08,0,,0,1,0,0,4,4
BEDFORDSHIRE,10.516223,MAULDEN,505910.97,237867.42,0,,0,1,0,0,4,4
BEDFORDSHIRE,9.730437999999999,CLOPHILL,509432.5,238222.2,0,,1,1,3.2251718,0,4,4
BEDFORDSHIRE,3.8897625,CAMPTON,512393.09,238065.45,0,,1,1,0,0,4,4
BEDFORDSHIRE,.63569525,SHEFFORD,514078.94,238869.59,0,,1,1,0,0,4,4
BEDFORDSHIRE,1.514572375,SHEFFORD HARDWICK,513948.59,239776.67,0,,0,0,0,0,4,4
BEDFORDSHIRE,5.815373,CHICKSANDS,511340.59,239745.22,0,,1,0,0,0,4,4
BEDFORDSHIRE,10.809603,SOUTHILL,513319.94,241733.52,0,,1,0,0,0,4,4
BEDFORDSHIRE,7.549953125,PERTENHALL,509924.91,265552.09,0,,1,1,0,0,4,4
BEDFORDSHIRE,1.359387,STANFORDBURY,514883.63,240401.45,0,,1,0,0,0,4,4
BEDFORDSHIRE,5.765775,STANFORD,516008.72,241526.56,0,,1,0,0,0,4,4
BEDFORDSHIRE,5.308306,BROOM,517237.53,242748.48,0,,0,1,0,0,4,4
BEDFORDSHIRE,5.7567345,CLIFTON,516448.25,239068.42,0,,1,1,0,0,4,4
BEDFORDSHIRE,9.607267,HENLOW,517595.75,237234.48,0,,1,1,0,0,4,4
BEDFORDSHIRE,8.396508000000001,LANGFORD,519416.63,240183.91,0,,1,1,0,0,4,4
BEDFORDSHIRE,2.67212925,ASTWICK,521395.28,239188.08,0,,1,1,0,0,4,4
BEDFORDSHIRE,9.490479000000001,ARLESEY,519432.84,235780.67,0,,0,1,0,0,4,4
BEDFORDSHIRE,9.651617999999999,STOTFOLD,521399.84,236142.14,0,,1,0,0,0,4,4
BEDFORDSHIRE,2.386063125,HOLWELL,519178.19,233677.75,0,,1,1,0,0,4,4
BERKSHIRE,4.7003115,WYTHAM,446903.28,209051.55,0,,0,1,4.021091,0,4,4
BERKSHIRE,.276531,CHANDLINGS FARM,450741.09,201291.13,0,,0,0,0,0,4,4
BERKSHIRE,12.977297125,UFFINGTON,430645.03,187832,0,,1,1,0,0,4,4
BERKSHIRE,8.13746096875,WOOLSTONE,429445.69,190594.3,0,,1,1,0,0,4,4
BERKSHIRE,5.8706965,COMPTON BEAUCHAMP,428346,186145.34,0,24,0,1,0,0,4,4
BERKSHIRE,4.161904,ASHBURY,427000,184150,0,,0,1,0,0,4,4
BERKSHIRE,3.91512125,ODSTONE,427577.19,185824.2,0,,0,0,0,0,4,4
BERKSHIRE,6.725998,KINGSTONE WINSLOW,426871.03,185675.55,0,,0,0,0,0,4,4
BERKSHIRE,7.840246,IDSTONE,426539.75,183360.63,0,,0,0,0,0,4,4
BERKSHIRE,19.745866,BLAGRAVE,432486.41,175797.11,0,,0,1,4.5345526,0,4,4
BERKSHIRE,8.618772,EASTBURY AND BOCKHAMPTON,435066.22,178525.66,0,,0,1,3.3653235,0,4,4
BERKSHIRE,14.219736,UPPER LAMBOURN,430766.69,181202.05,0,,0,1,0,0,4,4
BERKSHIRE,17.580144,CHIPPING LAMBOURN,432821.09,180317.33,0,,1,1,4.0413795,0,4,4
BERKSHIRE,5.2133275,CHILTON FOLIAT,433771.84,171341.42,0,,0,0,3.9963641,0,4,4
BERKSHIRE,17.944476,EAST GARSTON,436567.63,177127.91,0,20,0,1,3.3829768,0,4,4
BERKSHIRE,5.294838,SUNNINGWELL,449761.19,200705.36,0,24,0,1,3.3851433,0,4,4
BERKSHIRE,8.784390999999999,FAWLEY,438968.69,180457.77,0,,0,0,3.6744907,0,4,4
BERKSHIRE,13.667638,CHADDLEWORTH,441067.22,178337.27,0,24,0,1,3.1829438,0,4,4
BERKSHIRE,8.2679005,BRIGHTWALTON,442701.22,179758.08,0,28,1,1,0,0,4,4
BERKSHIRE,7.597455375,FARNBOROUGH,445927.78,182135.2,0,24,0,1,3.7841897,0,4,4
BERKSHIRE,2.79745425,CATMORE,444924.19,180311.38,0,,0,0,0,0,4,4
BERKSHIRE,8.404665,PEASEMORE,445737.09,177662.73,0,32,0,0,3.4162352,0,4,4
BERKSHIRE,8.1130575,BEEDON,447857.16,178117.34,0,,1,1,4.0271358,0,4,4
BERKSHIRE,12.267176,WEST ILSLEY,446953.38,182636.27,0,,1,1,3.7992275,0,4,4
BERKSHIRE,12.289382,EAST ILSLEY,449232.13,180910.25,0,24,0,0,0,0,4,4
BERKSHIRE,15.190093,COMPTON,452163.88,179955.73,0,,0,1,3.7322981,1,4,4
BERKSHIRE,1.223023375,KENNINGTON,452404.13,202108.64,0,,0,1,3.5804276,0,4,4
BERKSHIRE,7.5601835,ALDWORTH,454830.66,180038.7,0,24,1,0,4.3880272,0,4,4
BERKSHIRE,5.690673,MOULSFORD,457732.81,182946.67,0,20,0,0,3.4706581,0,4,4
BERKSHIRE,14.742153,STREATLEY,457796.44,180451.41,0,,1,1,3.8278916,0,4,4
