city,latitude,longitude,pop1000,pop1100,pop1200,pop1300,pop1400,pop1500,pop1550,pop1600,pop1650,pop1700,pop1750,pop1800,pop1850,11to13,13to15,1500to1550,1550to1600,16to18,150pre,150post,lnInc201,netInc201,lnInc501,netInc501,lnInc1001,netInc1001,1
Hereford,52.0565,-2.716,2,2,3,3,2,5,4,3,3,2,5,7,12,0.5,0.666666667,-0.2,-0.25,1.333333333,1,-0.5,11.02798653,230.7947693,44.27583313,2032.750366,155.8805389,9438.985352,38.76024628
Huddersfield,53.645,-1.7798,0,1,1,2,1,2,2,2,3,3,5,11,31,1,0,0,0,4.5,1,0.5,2.888448954,21.99576378,27.45391083,964.8693848,152.3238525,5984.049316,72.83039093
Ilkeston,52.971,-1.309,1,1,1,1,1,1,1,1,1,1,1,2,6,0,0,0,0,1,0,0,20.97070885,660.5457153,80.03665924,2381.377197,253.2007141,8579.682617,60.79756546
Ipswich,52.0594,1.1556,1,2,2,2,1,3,3,4,6,8,8,11,33,0,0.5,0,0.333333333,1.75,2,1.666666667,8.366201401,125.2639847,51.73093414,2013.466187,172.1968536,6912.091309,33.56232834
Kendal,54.326,-2.745,0,1,1,2,1,1,1,2,2,2,4,7,10,1,-0.5,0,1,2.5,0,1,0.03079867,0.621318161,13.2317276,447.8401489,62.56245422,2329.498291,10.26174831
Kidderminster,52.3885,-2.249,0,1,1,2,1,1,1,2,2,2,3,6,17,1,-0.5,0,1,2,0,1,3.555359602,69.46937561,53.68085861,2634.475342,230.8422394,11577.73047,77.47675323
Lancaster,54.047,-2.801,1,1,1,1,1,1,1,1,1,1,8,9,15,0,0,0,0,8,0,0,4.792490005,129.3286743,22.74092865,868.8610229,60.76477814,2193.795654,19.90108681
Leeds,53.7997,-1.5492,0,1,2,3,2,3,4,5,5,5,16,53,172,2,0,0.333333333,0.25,9.6,1,0.25,11.43165207,374.5997925,63.34645081,2705.185059,194.6562805,7896.214844,62.46244049
Leek,53.108,-2.0234,0,0,1,1,1,1,1,2,2,2,2,3,9,,0,0,1,0.5,0,1,7.395777225,261.1165161,28.74608803,815.4320068,156.2754059,5282.881348,84.28888702
Leicester,52.6333,-1.1333,2,2,3,3,3,3,3,4,4,5,8,17,61,0.5,0,0,0.333333333,3.25,0,0.666666667,9.076426506,989.09198,77.71144867,3280.732422,288.8048706,11533.36328,53.64445496
Lichfield,52.6835,-1.8265,2,2,2,2,1,2,2,2,3,3,4,5,7,0,0,0,0,1.5,1,0.5,0.53202194,11.58472061,60.36252975,1745.201904,248.4573517,9484.789063,88.75312042
Lincoln,53.2344,-0.5386,8,8,8,9,5,4,3,3,3,4,6,7,18,0.125,-0.555555556,-0.25,0,1.333333333,-0.4,0.333333333,18.61110497,560.9978638,91.11717987,2622.762451,285.4294128,9526.560547,27.30128479
Liverpool,53.4,-2.9833,0,1,1,1,1,1,1,2,3,6,22,83,376,0,0,0,1,40.5,0,5,4.140464783,82.81279755,22.1117897,1068.721558,58.556633,2588.331055,43.08448792
London,51.5172,0.1275,11,15,40,70,45,50,100,200,339,575,675,948,2236,3.666666667,-0.285714286,1,1,3.74,1.222222222,4.75,94.76338959,12065.46777,146.9564209,17195.04102,308.1357117,25494.98242,234.4291229
Loughborough,52.7705,-1.2046,0,0,0,0,0,1,2,2,2,2,3,5,11,,,1,0,1.5,,0,17.76918411,563.5283203,88.03713989,3161.09082,280.8930359,10498.58203,58.34334946
Luton,51.8783,-0.4147,0,1,1,1,1,1,2,2,2,2,2,3,11,0,0,1,0,0.5,1,0,16.94646072,945.3413696,75.60747528,4694.029297,331.1053467,22759.14453,147.2254791
Macclesfield,53.2581,-2.1274,0,1,1,2,1,2,3,3,4,4,7,11,39,1,0,0.5,0,2.666666667,2,0.333333333,0.405695498,16.97580147,15.93249226,602.1053467,125.6292038,4387.79541,80.94988251
Maidstone,51.272,0.529,0,0,0,0,0,2,2,3,3,4,5,8,21,,,0,0.5,1.666666667,,1,19.47306061,860.0615234,51.18372726,2715.298584,206.7261658,16745.56055,147.1882782
Manchester,53.4794,-2.2453,2,2,2,2,1,3,6,10,9,8,18,84,303,0,0.5,1,0.666666667,7.4,5,0.333333333,2.571692944,16.01540375,9.573912621,304.7683411,98.08975983,3657.960449,73.8589325
Mansfield,53.15,-1.2,0,1,1,1,1,1,1,1,1,1,3,6,11,0,0,0,0,5,0,0,11.60661221,382.8427734,64.53177643,2024.460449,250.5017548,8143.515137,52.52566528
Margate,51.385,1.3838,0,0,0,1,1,1,1,1,1,1,2,5,10,,0,0,0,4,0,0,0,0,25.98303986,2640.694092,86.39985657,5978.744629,27.35365486
Middlesbrough,54.5767,-1.2355,0,0,0,0,0,0,0,0,0,0,0,0,6,,,,,,,,5.230481148,232.7805023,31.71945572,1595.493042,129.8885498,5719.67041,23.22542572
Milton Keynes,52.04,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,4.574668407,153.914032,70.8290329,2757.625,303.2123718,17192.51172,64.208992
Nantwich,53.067,-2.522,1,1,1,1,1,2,3,3,4,4,3,3,6,0,1,0.5,0,0,2,0.333333333,3.275617838,149.4799957,30.85159683,1574.84021,111.8563766,4285.903809,71.3739624
Newbury,51.401,-1.323,1,1,1,1,1,3,3,2,2,2,3,4,7,0,2,0,-0.333333333,1,2,-0.333333333,4.824153423,81.30106354,38.73348618,3105.464844,233.4012451,15509.71191,58.73603821
Newport,50.701,-1.2883,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,4.19422102,125.2273865,30.28960228,1398.687134,107.2038803,5412.967773,28.68449402
Newport,52.7691,-2.3787,0,1,1,1,1,1,2,2,2,2,3,4,20,0,0,1,0,1,1,0,11.22867966,301.3912354,50.22588348,1627.75061,170.0003052,6552.71875,80.82091522
