id_1,id_2,id_3,obs_num,linked,year,county_city,parish,township,area,arable_area,pasture_area,meadow_area,garden_area,orchard_area,wood_area,ozier_area,hops_area,fen_area,marsh_area,houses,cottages,barns,farm_buildings,rent,rent_type,tenantes,lease_yrs,fine,annual_rent,price,burdens,return_pct,net_price,tenure,tithe_share,tithe_amount,land_tax_share,rent_valuation,annual_rental_value,annual_rental_value_tithe_free,share_clear_of_deductions,repair_payer,tithe_payer,rate_payer,local_rates,land_tax_payer,land_tax_amount,drainage_tax_payer,drainage_tax_amount,commons_area,lammas_area,commons_arable_area,commons_pasture_area,commons_meadow_area,commons_waste_area,beast_gates,sheep_gates,unspecified_common_rights,last_enclosure,enclosure_type,commons_unspecified_area,enclosed_common_area,enclosed_common_waste_area,parish_allotment,source,fccr_vol,fccr_page,county_city,parish_township,charity,notes,,,
60,640,2,0,L,1543,YW,FEWSTON,THURCROSS,1,,,,,,0,0,0,0,0,0,0,0,N,0.7,V,,,,0.7,,,5,,C,,,,,0.7,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCII,,9,YW,FEWSTON,,,,,
90,95,1,0,L,1543,DV,BISHOPS TAWTON,,2.92,,,,,,0,0,0,0,0,0,0,0,N,,,,,,,16,,5,16,F,,,,,0.8,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCII,,7,DV,SWIMBRIDGE,,,,,
140,514,1,0,U,1543,HA,ODIHAM,,,,,,,,0,0,0,0,0,,,,,0.67,M,1,10,,0.67,,,5,,,,,,,0.67,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,14,514,,,,,,,
290,1082,1,0,L,1543,WA,SUTTON COLDFIELD,,1.5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,N,0.1,C,1,,,0.1,,,5,,,,,,,0.1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,29,1082,WA,,,,,,
290,1082,2,0,L,1543,WA,SUTTON COLDFIELD,,3.77,,,,,,0,0,0,0,0,0,0,0,N,0.06,C,1,,,0.06,,,5,,,,,,,0.06,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,29,1082,WA,,,,,,
20,82,1,0,L,1547,EX,SOUTH BENFLEET,,273.33,,,,,,0,0,0,0,0,,,,,,,,,,,200,,5,200,F,,,,,10,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,2,82,,,,,,,
110,823,1,0,,1549,ST,STAFFORD ST MARY,,40,40,0,0,0,0,0,0,0,0,0,0,0,0,N,1,C,1,,,1,,,5,,,,,,,1,,0,,,,,,,,,40,0,40,0,0,0,0,0,0,,,0,0,0,,CCI,11,823,ST,,,,,,
240,336,1,0,L,1550,CH,BACKFORD,,153.98,,,,,,0,0,0,0,0,1,0,1,Y,,,,,,,240,,5,240,F,,,,,12,,0,,,,,,,,,,0,,,,,0,0,0,,,,,,,CCI,24,336,SH,WHITCHURCH,FREE GRAMMAR SCHOOL,,,,
270,515,1,0,L,1550,NF,NORWICH,,0.19,,,,,,0,0,0,0,0,0,0,0,N,0.33,M,1,499,,0.33,,,5,,,,,,,0.33,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,,,0,0,0,,CCI,27,515,,,,,,,
290,701,1,0,L,1550,NF,SWAFFHAM,,97.95,,,,,,0,0,0,0,0,,,,,,,,,,,126.1,2.8,5,182.1,F,,,,,9.11,,0,,,,,,,,,0,0,0,0,0,0,0,0,1,,,0,0,0,,CCI,29,701,NF,SWAFFHAM,TOWN ESTATE,"sheep walk on 316 acres heath, 200 acres grazing rights on half year land",,,
