name,order,landIncMean,titheIncMean,millIncMean,feeIncMean,almsIncMean,infraIncMean,transferIncMean,courtIncMean,annuityIncMean,educationIncMean,synProxIncMean,glebeIncMean,woodIncMean,unknownIncMean,landExpMean,titheExpMean,millExpMean,feeExpMean,almsExpMean,infraExpMean,transferExpMean,courtExpMean,annuityExpMean,educationExpMean,synProxExpMean,glebeExpMean,woodExpMean,unknownExpMean,year,region,totalInc,totalExp,netInc,depHouse,latitude,longitude,incomplete,landIncSum,titheIncSum,millIncSum,feeIncSum,almsIncSum,infraIncSum,transferIncSum,courtIncSum,annuityIncSum,educationIncSum,synProxIncSum,glebeIncSum,woodIncSum,unknownIncSum,landExpSum,titheExpSum,millExpSum,feeExpSum,almsExpSum,infraExpSum,transferExpSum,courtExpSum,annuityExpSum,educationExpSum,synProxExpSum,glebeExpSum,woodExpSum,unknownExpSum
Rocester Abbey,Augustinian,1038.2,1867.6666666666667,,,,,,,,,,,,,-120.33333333333333,,,-320.0,-448.0,,-413.3333333333333,,,,-147.5,,,,1538.0,4.0,26779.0,-2744.5,24034.5,,52.951243,-1.835296,0.0,15573.0,11206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361.0,0.0,0.0,-640.0,-448.0,0.0,-1240.0,0.0,0.0,0.0,-295.0,0.0,0.0,0.0
Romsey Abbey,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,3.0,126826.5,-32376.0,94450.5,,50.98968,-1.50125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rothwell Priory,Augustinian,,2524.0,,,,,,,,,,,,,,,,,,,-320.0,,,,-127.5,,,,1537.0,4.0,2524.0,-1087.5,1436.5,,52.424558,-0.805835,0.0,0.0,2524.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-960.0,0.0,0.0,0.0,-127.5,0.0,0.0,0.0
Shelford Priory,Augustinian,890.0,1699.4285714285713,,,,,134.85714285714286,,,,,,,3202.6666666666665,-131.7,,,-201.0,-560.0,,-489.09090909090907,,,,-64.0,,,-81.85714285714286,1536.0,4.0,36409.0,,27985.0,,52.98306,-0.9993999999999998,0.0,13350.0,11896.0,0.0,0.0,0.0,0.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,9608.0,-658.5,0.0,0.0,-804.0,-560.0,0.0,-5380.0,0.0,0.0,0.0,-576.0,0.0,0.0,-573.0
Sherborne Abbey,Benedictine,1692.8173076923076,1736.1818181818182,,,1006.5,,372.8,1709.642857142857,,,,,111.5,157.5,-65.91304347826087,,,-325.11538461538464,-256.0,,-380.8,,-1200.0,-936.0,-88.375,,,-240.0,1539.0,3.0,,,163855.75,,50.946667,-2.516667,0.0,132039.75,19098.0,0.0,0.0,2013.0,0.0,1864.0,23935.0,0.0,0.0,0.0,0.0,334.5,157.5,-1516.0,0.0,0.0,-8453.0,-1280.0,0.0,-1904.0,0.0,-1200.0,-936.0,-176.75,0.0,0.0,-240.0
Shingay Preceptory,Augustinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,1.0,,,42054.0,,52.10839,-0.088513,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shrewsbury Abbey,Benedictine,2922.9411764705883,1290.0571428571554,,,,,214.15384615384616,240.0,,,,,,96.0,-62.875,,,-512.5,-884.0,,-803.0769230769231,,-1320.0,,-366.0,,,,1540.0,4.0,147651.5,-23513.5,127738.0,,52.707607,-2.743916,0.0,99380.0,45152.00000000044,0.0,0.0,0.0,0.0,2784.0,240.0,0.0,0.0,0.0,0.0,0.0,96.0,-251.5,0.0,0.0,-8200.0,-884.0,0.0,-10440.0,0.0,-2640.0,0.0,-1098.0,0.0,0.0,0.0
Skewkirk,Augustinian,1920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1540.0,5.0,1920.0,0.0,1920.0,,53.981178,-1.281785,0.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwark Cathedral Priory,Augustinian,5139.642857142857,3651.076923076923,,,,,,,,,,,328.8,,-126.95833333333333,,,-980.0,,,-608.6666666666666,,,,-501.0,,,-216.0,1539.0,2.0,157560.5,-7722.5,149838.0,,51.506118,-0.08966,0.0,107932.5,47464.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644.0,0.0,-1523.5,0.0,0.0,-3920.0,0.0,0.0,-1826.0,0.0,0.0,0.0,-501.0,0.0,0.0,-432.0
Spinney Priory,Benedictine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1539.0,1.0,,,7200.0,1.0,52.322181,0.279701,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
