almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
,0.0,,0.0,,0.0,,0.0,LANCASHIRE,,0.0,,0.0,,,0.0,,0.0,-480.0,-2400.0,,0.0,1190.0,0.0,,0.0,,0.0,0.0,,0.0,4530.75,18123.0,54.201107,-2.951892,,0.0,1440.0,1440.0,Cartmel Priory,19035.0,Augustinian,,POINT (338001.8106513256 478790.3461040723),5.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,3140.0,6280.0,,27595.0,-400.0,-800.0,,0.0,-1440.0,-1440.0,,0.0,0,0.0,1536.0,1
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-320.0,-640.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,356.2,7124.0,53.085461,-0.33148,,0.0,,0.0,Catley Priory,8142.0,Gilbertine,,POINT (511849.715543421 355547.3165923227),4.0,1.0,,0,0.0,2.0,-122.0,-122.0,,0.0,,0.0,1080.0,2160.0,-1142.0,9284.0,-190.0,-380.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, EAST RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1290.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,53.74899,-0.335365,,0.0,,0.0,"Charterhouse, Kingston upon Hull",41980.0,Carthusian,,POINT (509868.0689475008 429352.1419597105),5.0,1.0,,0,0.0,2.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1538.0,0
-4480.0,-4480.0,,0.0,,0.0,,0.0,LANCASHIRE,,0.0,,0.0,,,0.0,,0.0,-405.0,-6480.0,,0.0,1204.0,0.0,,0.0,,0.0,0.0,-129.45454545454547,-1424.0,983.1222222222223,44240.5,53.976723,-2.874581,,0.0,,0.0,Cockersand Abbey,37848.5,Premonstratensian,,POINT (342735.9392193832 453759.5916945636),5.0,1.0,,0,0.0,3.0,-69.0,-138.0,,0.0,,0.0,5500.0,11000.0,-16936.0,54784.5,-736.6666666666666,-4420.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
-2520.0,-2520.0,,0.0,,0.0,,0.0,LANCASHIRE,,0.0,,0.0,,,0.0,,0.0,-181.33333333333334,-1088.0,,0.0,1181.0,0.0,,0.0,,0.0,0.0,,0.0,1039.0833333333333,12469.0,54.173143,-3.067932,,0.0,,0.0,Conishead Priory,23282.0,Augustinian,,POINT (330385.2549711518 475787.3437334781),5.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,2164.5,17316.0,-6503.0,29785.0,-405.6,-2028.0,,0.0,-800.0,-800.0,,0.0,0,0.0,1536.0,1
-720.0,-720.0,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-270.0,-2160.0,,0.0,1212.0,0.0,,0.0,,0.0,0.0,-16.875,-135.0,741.8823529411765,25224.0,54.2732,-1.8387,,0.0,,0.0,Coverham Abbey,38619.0,Premonstratensian,,POINT (410602.2222178697 486405.2305707731),5.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,4368.0,21840.0,-8837.0,49856.0,-534.1538461538462,-6944.0,,0.0,,0.0,2880.0,2880.0,0,0.0,1536.0,1
-2242.0,-4484.0,,0.0,-800.0,-800.0,,0.0,LINCOLNSHIRE,,0.0,100.0,200.0,,,0.0,,0.0,-388.46153846153845,-15150.0,,0.0,,0.0,,0.0,,0.0,0.0,-32.77777777777778,-295.0,3780.9007936507937,238196.75,52.676414,-0.16499,,0.0,36.0,36.0,Croyland Abbey,260110.5,Benedictine,,POINT (524161.1445090808 310323.1995965751),4.0,1.0,,0,0.0,3.0,-391.875,-783.75,,0.0,,0.0,2833.03125,45328.5,-32040.75,292151.25,-1579.3333333333333,-9476.0,305.05263157894734,5796.0,,0.0,223.22222222222223,2009.0,0,0.0,1539.0,0
-2047.0,-4094.0,,0.0,,0.0,,0.0,"YORKSHIRE, WEST RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1135.0,0.0,,0.0,,0.0,0.0,-86.14285714285714,-603.0,641.4090909090909,14111.0,53.74777199999999,-0.99006,,0.0,,0.0,Drax Priory,78995.0,Augustinian,,POINT (466699.4452277687 428404.1873826046),5.0,1.0,,0,0.0,-1.0,,0.0,,0.0,,0.0,680.0,680.0,-44045.0,29259.0,-760.0,-2280.0,2280.0,13680.0,,0.0,,0.0,0,0.0,1535.0,0
,0.0,,0.0,,0.0,,0.0,DURHAM,,0.0,480.0,480.0,,,0.0,,0.0,-604.4444444444445,-16320.0,,0.0,1083.0,0.0,,0.0,,0.0,0.0,-314.36538461538464,-8173.5,1942.4238095238095,203954.5,54.77321,-1.57683,,0.0,,0.0,Durham Priory,327969.0,Benedictine,,POINT (427321.3967025032 542113.303486921),5.0,,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,5948.823529411765,101130.0,-59809.5,387778.5,-1735.0,-20820.0,424.2105263157895,8060.0,,0.0,7122.0,64098.0,1,3.0,1540.0,0
-3302.5,-3302.5,,0.0,,0.0,,0.0,"YORKSHIRE, NORTH RIDING",,0.0,,0.0,,,0.0,,0.0,-196.66666666666666,-2360.0,,0.0,1152.0,0.0,,0.0,,0.0,0.0,-69.08333333333333,-1658.0,1747.4130434782608,40190.5,54.39825499999999,-1.7170239999999999,,0.0,,0.0,Easby Abbey,26855.0,Premonstratensian,,POINT (418470.223080034 500344.9968357909),5.0,1.0,,0,0.0,1.0,-126.0,-126.0,,0.0,,0.0,2482.0,4964.0,-18459.0,45314.0,-846.1538461538462,-11000.0,160.0,160.0,,0.0,,0.0,0,0.0,1537.0,0
