,city,year,population,latitude,longitude
520,Bolton,1300.0,1.0,53.578,-2.429
521,Bolton,1400.0,1.0,53.578,-2.429
522,Bolton,1500.0,1.0,53.578,-2.429
523,Bolton,1550.0,1.0,53.578,-2.429
524,Bolton,1600.0,2.0,53.578,-2.429
525,Bolton,1650.0,2.0,53.578,-2.429
526,Bolton,1700.0,2.0,53.578,-2.429
527,Bolton,1750.0,1.0,53.578,-2.429
528,Bolton,1800.0,13.0,53.578,-2.429
529,Bolton,1850.0,61.0,53.578,-2.429
530,Bolton,1900.0,168.0,53.578,-2.429
531,Bolton,1950.0,167.0,53.578,-2.429
532,Bolton,2000.0,139.0,53.578,-2.429
546,Boston,700.0,0.0,52.974,-0.0214
547,Boston,800.0,0.0,52.974,-0.0214
548,Boston,900.0,0.0,52.974,-0.0214
549,Boston,1000.0,1.0,52.974,-0.0214
550,Boston,1100.0,2.0,52.974,-0.0214
551,Boston,1200.0,4.0,52.974,-0.0214
552,Boston,1300.0,7.0,52.974,-0.0214
553,Boston,1400.0,6.0,52.974,-0.0214
554,Boston,1500.0,2.0,52.974,-0.0214
555,Boston,1550.0,2.0,52.974,-0.0214
556,Boston,1600.0,2.0,52.974,-0.0214
557,Boston,1650.0,3.0,52.974,-0.0214
558,Boston,1700.0,4.0,52.974,-0.0214
559,Boston,1750.0,5.0,52.974,-0.0214
560,Boston,1800.0,6.0,52.974,-0.0214
561,Boston,1850.0,15.0,52.974,-0.0214
562,Boston,1900.0,16.0,52.974,-0.0214
563,Boston,1950.0,24.0,52.974,-0.0214
564,Boston,2000.0,35.0,52.974,-0.0214
574,Bournemouth,700.0,0.0,50.72,-1.88
575,Bournemouth,800.0,0.0,50.72,-1.88
576,Bournemouth,900.0,0.0,50.72,-1.88
577,Bournemouth,1000.0,0.0,50.72,-1.88
578,Bournemouth,1100.0,0.0,50.72,-1.88
579,Bournemouth,1200.0,0.0,50.72,-1.88
580,Bournemouth,1300.0,0.0,50.72,-1.88
581,Bournemouth,1400.0,0.0,50.72,-1.88
582,Bournemouth,1500.0,0.0,50.72,-1.88
583,Bournemouth,1550.0,0.0,50.72,-1.88
584,Bournemouth,1600.0,0.0,50.72,-1.88
585,Bournemouth,1650.0,0.0,50.72,-1.88
586,Bournemouth,1700.0,0.0,50.72,-1.88
587,Bournemouth,1750.0,0.0,50.72,-1.88
588,Bournemouth,1800.0,0.0,50.72,-1.88
589,Bournemouth,1850.0,5.0,50.72,-1.88
590,Bournemouth,1900.0,60.0,50.72,-1.88
591,Bournemouth,1950.0,145.0,50.72,-1.88
592,Bournemouth,2000.0,184.0,50.72,-1.88
663,Brighton,700.0,0.0,50.8429,-0.1313
664,Brighton,800.0,0.0,50.8429,-0.1313
665,Brighton,900.0,0.0,50.8429,-0.1313
666,Brighton,1000.0,0.0,50.8429,-0.1313
667,Brighton,1100.0,1.0,50.8429,-0.1313
668,Brighton,1200.0,1.0,50.8429,-0.1313
669,Brighton,1300.0,2.0,50.8429,-0.1313
670,Brighton,1400.0,1.0,50.8429,-0.1313
671,Brighton,1500.0,2.0,50.8429,-0.1313
672,Brighton,1550.0,2.0,50.8429,-0.1313
673,Brighton,1600.0,2.0,50.8429,-0.1313
674,Brighton,1650.0,3.0,50.8429,-0.1313
675,Brighton,1700.0,3.0,50.8429,-0.1313
676,Brighton,1750.0,5.0,50.8429,-0.1313
677,Brighton,1800.0,8.0,50.8429,-0.1313
678,Brighton,1850.0,66.0,50.8429,-0.1313
679,Brighton,1900.0,123.0,50.8429,-0.1313
680,Brighton,1950.0,157.0,50.8429,-0.1313
681,Brighton,2000.0,156.0,50.8429,-0.1313
684,Bristol,700.0,0.0,51.45,-2.5833
685,Bristol,800.0,0.0,51.45,-2.5833
686,Bristol,900.0,0.0,51.45,-2.5833
687,Bristol,1000.0,1.0,51.45,-2.5833
688,Bristol,1100.0,2.0,51.45,-2.5833
689,Bristol,1200.0,3.0,51.45,-2.5833
690,Bristol,1300.0,11.0,51.45,-2.5833
691,Bristol,1400.0,10.0,51.45,-2.5833
692,Bristol,1500.0,10.0,51.45,-2.5833
693,Bristol,1550.0,11.0,51.45,-2.5833
694,Bristol,1600.0,12.0,51.45,-2.5833
695,Bristol,1650.0,15.0,51.45,-2.5833
696,Bristol,1700.0,20.0,51.45,-2.5833
697,Bristol,1750.0,50.0,51.45,-2.5833
698,Bristol,1800.0,64.0,51.45,-2.5833
699,Bristol,1850.0,137.0,51.45,-2.5833
700,Bristol,1900.0,324.0,51.45,-2.5833
701,Bristol,1950.0,442.0,51.45,-2.5833
702,Bristol,2000.0,381.0,51.45,-2.5833
717,Bromsgrove,700.0,0.0,52.3353,-2.0579
718,Bromsgrove,800.0,0.0,52.3353,-2.0579
719,Bromsgrove,900.0,1.0,52.3353,-2.0579
720,Bromsgrove,1000.0,1.0,52.3353,-2.0579
721,Bromsgrove,1100.0,1.0,52.3353,-2.0579
722,Bromsgrove,1200.0,2.0,52.3353,-2.0579
723,Bromsgrove,1300.0,2.0,52.3353,-2.0579
724,Bromsgrove,1400.0,1.0,52.3353,-2.0579
725,Bromsgrove,1500.0,2.0,52.3353,-2.0579
726,Bromsgrove,1550.0,2.0,52.3353,-2.0579
727,Bromsgrove,1600.0,2.0,52.3353,-2.0579
728,Bromsgrove,1650.0,3.0,52.3353,-2.0579
729,Bromsgrove,1700.0,3.0,52.3353,-2.0579
730,Bromsgrove,1750.0,4.0,52.3353,-2.0579
731,Bromsgrove,1800.0,6.0,52.3353,-2.0579
732,Bromsgrove,1850.0,10.0,52.3353,-2.0579
733,Bromsgrove,1900.0,8.0,52.3353,-2.0579
734,Bromsgrove,1950.0,15.0,52.3353,-2.0579
735,Bromsgrove,2000.0,29.0,52.3353,-2.0579
780,Burnley,700.0,0.0,53.789,-2.248
781,Burnley,800.0,0.0,53.789,-2.248
782,Burnley,900.0,0.0,53.789,-2.248
783,Burnley,1000.0,0.0,53.789,-2.248
784,Burnley,1100.0,1.0,53.789,-2.248
785,Burnley,1200.0,1.0,53.789,-2.248
786,Burnley,1300.0,1.0,53.789,-2.248
787,Burnley,1400.0,1.0,53.789,-2.248
788,Burnley,1500.0,1.0,53.789,-2.248
789,Burnley,1550.0,1.0,53.789,-2.248
790,Burnley,1600.0,1.0,53.789,-2.248
791,Burnley,1650.0,1.0,53.789,-2.248
792,Burnley,1700.0,1.0,53.789,-2.248
793,Burnley,1750.0,2.0,53.789,-2.248
794,Burnley,1800.0,5.0,53.789,-2.248
795,Burnley,1850.0,25.0,53.789,-2.248
796,Burnley,1900.0,106.0,53.789,-2.248
797,Burnley,1950.0,85.0,53.789,-2.248
798,Burnley,2000.0,73.0,53.789,-2.248
804,Burslem,700.0,0.0,53.0426,-2.1879
805,Burslem,800.0,0.0,53.0426,-2.1879
806,Burslem,900.0,0.0,53.0426,-2.1879
807,Burslem,1000.0,0.0,53.0426,-2.1879
808,Burslem,1100.0,1.0,53.0426,-2.1879
809,Burslem,1200.0,1.0,53.0426,-2.1879
810,Burslem,1300.0,1.0,53.0426,-2.1879
811,Burslem,1400.0,1.0,53.0426,-2.1879
812,Burslem,1500.0,1.0,53.0426,-2.1879
813,Burslem,1550.0,1.0,53.0426,-2.1879
814,Burslem,1600.0,1.0,53.0426,-2.1879
815,Burslem,1650.0,1.0,53.0426,-2.1879
816,Burslem,1700.0,1.0,53.0426,-2.1879
817,Burslem,1750.0,3.0,53.0426,-2.1879
818,Burslem,1800.0,7.0,53.0426,-2.1879
819,Burslem,1850.0,20.0,53.0426,-2.1879
820,Burslem,1900.0,39.0,53.0426,-2.1879
821,Burslem,1950.0,23.0,53.0426,-2.1879
822,Burslem,2000.0,14.0,53.0426,-2.1879
831,Bury,700.0,0.0,53.593,-2.298
832,Bury,800.0,0.0,53.593,-2.298
833,Bury,900.0,0.0,53.593,-2.298
834,Bury,1000.0,0.0,53.593,-2.298
835,Bury,1100.0,0.0,53.593,-2.298
836,Bury,1200.0,0.0,53.593,-2.298
837,Bury,1300.0,0.0,53.593,-2.298
838,Bury,1400.0,0.0,53.593,-2.298
839,Bury,1500.0,1.0,53.593,-2.298
840,Bury,1550.0,1.0,53.593,-2.298
841,Bury,1600.0,1.0,53.593,-2.298
842,Bury,1650.0,1.0,53.593,-2.298
843,Bury,1700.0,1.0,53.593,-2.298
844,Bury,1750.0,3.0,53.593,-2.298
845,Bury,1800.0,7.0,53.593,-2.298
846,Bury,1850.0,25.0,53.593,-2.298
847,Bury,1900.0,58.0,53.593,-2.298
848,Bury,1950.0,59.0,53.593,-2.298
849,Bury,2000.0,61.0,53.593,-2.298
918,Canterbury,700.0,1.0,51.28,1.08
919,Canterbury,800.0,2.0,51.28,1.08
920,Canterbury,900.0,2.0,51.28,1.08
921,Canterbury,1000.0,2.0,51.28,1.08
922,Canterbury,1100.0,4.0,51.28,1.08
923,Canterbury,1200.0,5.0,51.28,1.08
924,Canterbury,1300.0,6.0,51.28,1.08
925,Canterbury,1400.0,4.0,51.28,1.08
926,Canterbury,1500.0,3.0,51.28,1.08
927,Canterbury,1550.0,4.0,51.28,1.08
928,Canterbury,1600.0,6.0,51.28,1.08
929,Canterbury,1650.0,7.0,51.28,1.08
930,Canterbury,1700.0,8.0,51.28,1.08
931,Canterbury,1750.0,8.0,51.28,1.08
932,Canterbury,1800.0,9.0,51.28,1.08
933,Canterbury,1850.0,28.0,51.28,1.08
934,Canterbury,1900.0,25.0,51.28,1.08
935,Canterbury,1950.0,33.0,51.28,1.08
936,Canterbury,2000.0,43.0,51.28,1.08
964,Carlisle,700.0,1.0,54.891,-2.944
965,Carlisle,800.0,1.0,54.891,-2.944
966,Carlisle,900.0,1.0,54.891,-2.944
967,Carlisle,1000.0,1.0,54.891,-2.944
968,Carlisle,1100.0,1.0,54.891,-2.944
969,Carlisle,1200.0,1.0,54.891,-2.944
970,Carlisle,1300.0,1.0,54.891,-2.944
971,Carlisle,1400.0,1.0,54.891,-2.944
972,Carlisle,1500.0,1.0,54.891,-2.944
973,Carlisle,1550.0,1.0,54.891,-2.944
974,Carlisle,1600.0,2.0,54.891,-2.944
975,Carlisle,1650.0,2.0,54.891,-2.944
976,Carlisle,1700.0,2.0,54.891,-2.944
977,Carlisle,1750.0,4.0,54.891,-2.944
978,Carlisle,1800.0,9.0,54.891,-2.944
979,Carlisle,1850.0,26.0,54.891,-2.944
980,Carlisle,1900.0,46.0,54.891,-2.944
981,Carlisle,1950.0,57.0,54.891,-2.944
982,Carlisle,2000.0,72.0,54.891,-2.944
1019,Chatham,700.0,0.0,51.37,0.52
1020,Chatham,800.0,0.0,51.37,0.52
1021,Chatham,900.0,1.0,51.37,0.52
