almsExpMean,almsExpSum,almsIncMean,almsIncSum,annuityExpMean,annuityExpSum,annuityIncMean,annuityIncSum,county,courtExpMean,courtExpSum,courtIncMean,courtIncSum,depHouse,educationExpMean,educationExpSum,educationIncMean,educationIncSum,feeExpMean,feeExpSum,feeIncMean,feeIncSum,founded,incomplete,infraExpMean,infraExpSum,infraIncMean,infraIncSum,ladyHouse,landExpMean,landExpSum,landIncMean,landIncSum,latitude,longitude,millExpMean,millExpSum,millIncMean,millIncSum,name,netInc,order,originalFoundation,pt,region,rurHouse,selected,subHouse,subPop,survival,synProxExpMean,synProxExpSum,synProxIncMean,synProxIncSum,titheExpMean,titheExpSum,titheIncMean,titheIncSum,totalExp,totalInc,transferExpMean,transferExpSum,transferIncMean,transferIncSum,unknownExpMean,unknownExpSum,unknownIncMean,unknownIncSum,urbHouse,urbPop,year,diss1536
-493.7142857142857,-3456.0,,0.0,,0.0,,0.0,SURREY,,0.0,137.14285714285714,960.0,,,0.0,,0.0,-542.8571428571429,-3800.0,,0.0,1082.0,0.0,,0.0,,0.0,0.0,-962.2,-9622.0,4263.238095238095,89528.0,51.49691,-0.079638,,0.0,960.0,1920.0,Bermondsey Abbey Cluniacs,113932.75,Benedictine,,POINT (533399.7749484523 179299.9942798445),2.0,,1.0,1,50.0,2.0,-170.75,-683.0,,0.0,,0.0,1647.8392857142858,23069.75,-17617.0,131549.75,,0.0,560.6153846153846,7288.0,-48.0,-48.0,960.0,960.0,0,0.0,1538.0,0
,0.0,,0.0,,0.0,,0.0,"YORKSHIRE, EAST RIDING",,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1201.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,53.842641,-0.422826,,0.0,,0.0,Beverley Preceptory,39478.0,Augustinian,,POINT (503869.7990867372 439639.1764862762),5.0,,1.0,0,0.0,4.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,1,2.0,1540.0,0
-240.0,-240.0,,0.0,,0.0,,0.0,KENT,,0.0,,0.0,,,0.0,,0.0,-583.0,-2332.0,,0.0,1253.0,0.0,-4452.0,-4452.0,,0.0,0.0,-27.333333333333332,-82.0,5162.0,20648.0,51.082611,0.915936,,0.0,,0.0,Bilsington Priory,19458.0,Augustinian,,POINT (604328.0985538933 135521.1411794265),2.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,-9829.75,29288.0,-676.4375,-2705.75,,0.0,,0.0,,0.0,0,0.0,1536.0,1
-100.0,-200.0,,0.0,-640.0,-640.0,,0.0,DORSET,,0.0,324.75,1623.75,1.0,,0.0,,0.0,-480.0,-1920.0,,0.0,1172.0,0.0,,0.0,,0.0,0.0,-1002.0,-7014.0,1733.0434782608695,39860.0,50.680561,-2.218085,,0.0,,0.0,Bindon Abbey,35373.5,Cistercian,,POINT (384687.8355334097 86790.86275018923),3.0,1.0,1.0,0,0.0,3.0,-118.66666666666667,-356.0,,0.0,,0.0,1227.111111111111,11044.0,,,-454.0,-2270.0,480.0,480.0,-6400.0,-6400.0,135.5,271.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,NORFOLK,,0.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,1093.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,52.920148,0.94684,,0.0,,0.0,Binham Priory,33664.0,Benedictine,,POINT (598206.5128746252 339921.3090585839),1.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,NORTHUMBERLAND,,0.0,,0.0,1.0,,0.0,,0.0,,0.0,,0.0,1165.0,1.0,,0.0,,0.0,0.0,,0.0,,0.0,54.848211,-2.055905,,0.0,,0.0,Blanchland Abbey,9708.0,Premonstratensian,,POINT (396508.7811085367 550378.9616246199),5.0,1.0,1.0,0,0.0,3.0,,0.0,,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,LINCOLNSHIRE,,0.0,,0.0,,,0.0,,0.0,-300.0,-1200.0,,0.0,1138.0,0.0,,0.0,,0.0,0.0,-90.6875,-362.75,1765.4166666666667,26481.25,52.76632200000001,-0.37555600000000006,,0.0,,0.0,Bourne Abbey,40254.5,Augustinian,,POINT (509700.5836696727 319981.5397276344),4.0,1.0,1.0,0,0.0,0.0,-610.0,-610.0,,0.0,,0.0,2976.6666666666665,17860.0,-7234.75,47489.25,-930.8,-4654.0,132.0,528.0,-48.0,-48.0,320.0,320.0,0,0.0,1536.0,1
-908.5,-908.5,,0.0,,0.0,,0.0,SUSSEX,,0.0,,0.0,,,0.0,,0.0,-280.0,-560.0,,0.0,1105.0,0.0,,0.0,,0.0,0.0,-167.0,-2004.0,825.8518518518518,22298.0,50.860475,-0.711051,,0.0,,0.0,Boxgrove Priory,34922.5,Benedictine,,POINT (490812.0643196392 107566.0178037028),3.0,1.0,1.0,0,0.0,0.0,-178.0,-178.0,,0.0,,0.0,2666.6666666666665,16000.0,-9713.5,44636.0,-1496.0,-5984.0,1600.0,1600.0,,0.0,220.0,440.0,0,0.0,1536.0,1
-3180.0,-3180.0,,0.0,,0.0,,0.0,WILTSHIRE,,0.0,100.0,200.0,,,0.0,,0.0,-424.0,-4240.0,,0.0,1140.0,0.0,,0.0,,0.0,0.0,-107.33333333333333,-644.0,871.9411764705883,59292.0,51.512222,-2.003611,,0.0,,0.0,Bradenstoke Priory,51111.0,Augustinian,,POINT (399845.5755152422 179255.1332137987),3.0,1.0,1.0,0,0.0,3.0,-269.0,-269.0,,0.0,,0.0,1017.6,5088.0,-13817.0,64928.0,-1904.0,-5712.0,,0.0,-106.0,-212.0,360.0,360.0,0,0.0,1539.0,0
,0.0,,0.0,,0.0,,0.0,LEICESTERSHIRE,,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,1227.0,0.0,,0.0,,0.0,0.0,-49.0,-147.0,965.4,4827.0,52.550455,-0.787116,,0.0,,0.0,Bradley Priory,4840.0,Augustinian,,POINT (482337.0743091023 295423.1659406212),4.0,1.0,1.0,0,0.0,0.0,,0.0,,0.0,,0.0,160.0,160.0,-147.0,4987.0,,0.0,,0.0,,0.0,,0.0,0,0.0,1536.0,1
