county,dlogpopdens1377_1801,logpopdens1377,logpopdens1290,dlogpopdens1290_1801,dlogpopdens1600_1801,logpopdens1600,popdens1600,logpopdens1801,popdens1801,popdens1377,dpopdens1377_1801,cistercianshare,relhouses,rivershare,oceandummy,agrquality1_2,logarea,regionName,area_camp,share_coal,roads,literacy1851,cistercian,cist_dum,cist_area,Rforest,forestshare,grass,cistercianshare_1530,augustinianshare,benedictineshare,cluniacshare,premonshare,logpopdens1377_sq,popdens1377_sq
DURHAM,1.3885541,2.731319,3.2109199,0.90895319,0.7237277,3.3961453,29.848829,4.119873,61.55143,15.353124,46.198307,0,6,0.12652664,1,0.027917361,7.8486781,North East England,2562.345,0.34098887,0.047487412,0.73000002,0,0,0,0,0,0.34606841,0,0.16666667,0.66666669,0,0,7.460103,235.7184
ESSEX,0.47489715,3.6127126,3.5701168,0.51749301,0.42460299,3.6630068,38.978363,4.0876098,59.597267,37.066463,22.530804,0.096774191,31,0.10833513,1,0.41466638,8.2874117,East England,3973.5378,0,0.078436069,0.56,3,1,0.000754995,1,0.6249702,0.11559691,0.15000001,0.38709676,0.29032257,0.096774191,0.032258064,13.051693,1373.9227
GLOUCESTERSHIRE,0.69370794,3.7045097,3.6808255,0.71739221,0.95184088,3.4463768,31.386465,4.3982177,81.305809,40.630123,40.675686,0.15789473,19,0.088264301,1,0.065555841,8.07903,South West England,3226.104,0.10290873,0.087769195,0.71000004,3,1,0.000929914,1,0.13759981,0.34629521,0.2,0.31578946,0.42105263,0,0,13.723392,1650.8069
HAMPSHIRE,0.70789909,3.3054109,2.948236,1.065074,0.79057741,3.2227325,25.0966,4.01331,55.32972,27.259739,28.069981,0.11111111,27,0.088082947,1,0.05357321,8.3313065,South East England,4151.8374,5.96E-08,0.079468116,0.73000002,3,1,0.000722572,1,0.80034006,0.36562499,0.2,0.25925925,0.4074074,0.037037037,0.037037037,10.925741,743.09338
HEREFORDSHIRE,0.65674591,3.0996904,3.3322995,0.42413688,0.4075799,3.3488564,28.470173,3.7564363,42.795643,22.19108,20.604563,0.06666667,15,0.14323941,1,0.42835236,7.6869035,West Midlands,2179.6145,0,0.068186529,0.60000002,1,1,0.000458797,1,0.14984864,0.39793065,0.11111111,0.2,0.46666667,0.06666667,0,9.6080809,492.44403
HERTFORDSHIRE,0.56878352,3.5735357,3.7818067,0.3605125,0.56320906,3.5791101,35.841637,4.1423192,62.948631,35.642391,27.30624,0,16,0.12249211,0,0.19297796,7.3908796,East England,1621.1313,0,0.12432305,0.5,0,0,0,1,0.046840649,0.17705545,0,0.1875,0.3125,0,0,12.770157,1270.38
HUNTINGDONSHIRE,-0.042285919,3.7582669,4.0653396,-0.34935856,0.35215092,3.3638301,28.899664,3.715981,41.098885,42.874062,-1.775177,0.14285715,7,0.10049039,0,0.51644337,6.8627191,East England,955.96265,0,0.083555482,0.59000003,1,1,0.001046066,1,0.9079423,0.053876478,0.14285715,0.2857143,0.42857143,0,0,14.12457,1838.1852
KENT,0.62634945,3.7482452,3.5264032,0.8481915,0.75168514,3.6229095,37.446373,4.3745947,79.407646,42.446529,36.961117,0.07692308,26,0.098083243,1,0.27611652,8.3068361,South East England,4051.4739,0,0.080964819,0.71000004,2,1,0.000493648,1,0.001251876,0.42019752,0.052631579,0.23076923,0.30769232,0.03846154,0.11538462,14.049342,1801.7079
LANCASHIRE,2.3209386,2.6199021,2.3227754,2.6180654,1.3542185,3.5866222,36.111897,4.9408407,139.88782,13.734379,126.15344,0.21428572,14,0.1101426,1,0.13258776,8.5230608,North West England,5029.4229,0.25377184,0.061063346,0.63999999,3,1,0.00059649,1,0.19939205,0.58104926,0.18181819,0.2857143,0.2857143,0.071428575,0.14285715,6.8638873,188.63316
LEICESTERSHIRE,0.32940793,3.811518,3.309381,0.83154488,0.76760149,3.3733244,29.175352,4.1409259,62.861008,45.219025,17.641983,0.07692308,13,0.071498297,0,0.10495858,7.6797857,East Midlands,2164.1555,0.047475338,0.065493487,0.69999999,1,1,0.000462074,1,0.016856762,0.27633068,0.090909094,0.61538464,0.07692308,0,0.07692308,14.527669,2044.7601
LINCOLNSHIRE,-0.23228502,3.6799181,3.8468173,-0.39918423,0.23057199,3.217061,24.954672,3.447633,31.425922,39.643147,-8.2172241,0.09589041,73,0.073369056,1,0.44395077,8.8451357,East Midlands,6940.5439,0,0.048495576,0.69999999,7,1,0.001008567,0,0,0.025428949,0.096153848,0.19178082,0.31506848,0,0.09589041,13.541797,1571.5791
MIDDLESEX,,,,,,,,,,,,,,0.22217904,0,0.019331422,,,,5.96E-08,0.10471074,0.73000002,,1,,1,0.068033084,0.17261904,0,,,,,,
NORFOLK,0.010361433,3.9699001,4.3405676,-0.36030602,0.51301551,3.4672461,32.04837,3.9802616,53.531036,52.97924,0.55179596,0.02,50,0.11541829,1,0.24419057,8.5831251,East England,5340.771,0,0.046918273,0.58000004,1,1,0.000187239,0,0,0.059157211,0,0.34,0.34,0.1,0.059999999,15.760107,2806.7998
NORTHAMPTONSHIRE,0.13304019,3.844408,3.8602645,0.11718369,0.41407657,3.5633717,35.28196,3.9774482,53.380646,46.731018,6.6496277,0.052631579,19,0.10351454,0,0.098581381,7.8560667,East Midlands,2581.3477,0,0.053604811,0.63,1,1,0.000387395,1,0.5507704,0.16978922,0.07692308,0.2631579,0.21052632,0.10526316,0.052631579,14.779473,2183.7881
