name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Hickling Priory,,Hickling,7,Augustinian,,Canons,1536,52.7669,1.583,,100,4.605170186,0,1,0,0,1,0,2.115074188,0,0,NORFOLK,,
Hinchingbrooke,,,7,Benedictine,,Nuns,1536,52.3286,-0.2014,,17,2.833213344,0,1,0,0,1,0,0.822827351,1,17,HUNTINGDONSHIRE,,
Hinton Priory,,Hinton,8,Carthusian,,Monks,1539,51.3313,-2.3199,,248,5.513428746,3,0,1,1,0,0,2.209039821,0,0,SOMERSET,,
Hirst,,,6,Augustinian,,Canons,1540,53.582697,-0.826335,Nostell,7,1.945910149,4,1,0,0,1,1,2.190358343,0,0,LINCOLNSHIRE,1122,"The Foundation of Nostell Priory, 1109-1153 p25"
Hitchin,,Hitchin Priory,7,Carmelites,,Friars,1538,51.945161,-0.278946,,,,2,0,1,0,1,0,0.463935913,0,,HERTFORDSHIRE,,
Hitchin Priory,,New Bigging Priory,7,Gilbertine,,Canons,1538,51.946926,-0.276495,,13,2.564949357,2,0,1,0,1,0,0.464750799,0,0,HERTFORDSHIRE,,
Hogshaw Commandery,,Hogshaw,9,Augustinian,Knights Hospitaller,,1540,51.895808,-0.928763,,74,4.304065093,4,1,0,0,1,0,0.897787454,0,0,BUCKINGHAMSHIRE,,
Holmcultram Abbey,,Abbeytown,1,Cistercian,,Monks,1538,54.8454,-3.2829,Melrose,477,6.167516491,2,1,0,1,0,1,4.597918246,0,0,CUMBERLAND,1150,https://www.british-history.ac.uk/vch/cumb/vol2/pp162-173
Holme,,East Holme,8,Benedictine,Cluniac,,1539,50.673251,-2.144031,,16,2.772588722,3,1,0,0,1,0,2.191927304,0,0,DORSET,,
"Holy Trinity Priory, Aldgate",,"Aldgate, City of London",10,Augustinian,,Canonesses,1532,51.513646,-0.078074,,355,5.872117789,-4,1,0,1,0,0,0.040191715,1,355,MIDDLESEX,,
"Holy Trinity Priory, Ipswich",,Ipswich,7,Augustinian,,Canons,1537,52.06056,1.15814,,82,4.406719247,1,1,0,0,1,0,1.389929801,0,0,SUFFOLK,,
"Holy Trinity Priory, York",,York,3,Benedictine,,Monks,1538,53.956043,-1.088631,,169,5.129898715,2,1,0,0,1,1,2.631550262,0,0,"YORKSHIRE, EAST RIDING",,
Holystone Priory,,,2,Augustinian,,Canonesses,1539,55.318365,-2.072457,,11,2.397895273,3,1,0,0,1,1,4.280555485,1,11,NORTHUMBERLAND,1120,https://wholehopecottage.files.wordpress.com/2015/07/holystone-priory-excavation-report-2015-vs-final.pdf says early 12c
Hornby Priory,,,1,Premonstratensian,,Canons,1538,54.115407,-2.648124,,76,4.33073334,2,0,1,0,1,1,3.631689287,0,0,LANCASHIRE,,
Horton Priory,,Horton,8,Benedictine,,Monks,1539,50.866545,-1.958522,Sherborne,53,3.970291914,3,1,0,0,1,0,1.949663426,0,0,DORSET,,
Hounslow,,,10,Augustinian,Trinitarian,Friars,1538,51.468613,-0.363836,,74,4.304065093,2,1,0,0,1,0,0.249196841,0,0,MIDDLESEX,,
Hoxne Priory,,Hoxne,7,Benedictine,,Monks,1538,52.342,1.203,Norwich Cathedral,18,2.890371758,2,1,0,0,1,0,1.561258854,0,0,SUFFOLK,,
Hulne,,Hulne Priory,2,Carmelites,,Friars,1539,55.43492,-1.74395,,,,3,0,1,0,1,1,4.248339114,0,,NORTHUMBERLAND,,
Hulton Abbey,,Abbey Hulton,5,Cistercian,,Monks,1538,53.039444,-2.1425,Combermere,76,4.33073334,2,1,0,0,1,0,2.537202063,0,0,STAFFORDSHIRE,,
Humberston Abbey,,,6,Benedictine,,Monks,1536,53.53406,-0.02596,,32,3.465735903,0,1,0,0,1,1,2.02615613,0,0,LINCOLNSHIRE,,
Huntingdon,,Huntingdon,7,Augustinian,Austin Friars,Friars,1539,52.332987,-0.18808,Cambridge,,,3,1,0,0,1,0,0.825956901,0,,HUNTINGDONSHIRE,,
Huntingdon Priory,,Huntingdon,7,Augustinian,,Canons,1538,52.333,-0.183,,187,5.231108617,2,1,0,0,1,0,0.825554971,0,0,HUNTINGDONSHIRE,,
Hurley Priory,,Hurley,9,Benedictine,,Monks,1536,51.5496,-0.8097,Westminister Abbey,121,4.795790546,0,1,0,0,1,0,0.692732791,0,0,BERKSHIRE,,
Hyde Abbey,,Winchester,9,Benedictine,,Monks,1538,51.0686,-1.3143,,865,6.762729507,2,1,0,1,0,0,1.275040548,0,0,HAMPSHIRE,,
Ickleton Priory,,Ickleton,7,Benedictine,,Nuns,1536,52.070833,0.170833,,71,4.262679877,0,1,0,0,1,0,0.630885039,1,71,CAMBRIDGESHIRE,,
Ilchester Friary,,Ilchester,8,Dominican,,Friars,1538,51.0017,-2.6874,London,,,2,0,1,0,1,0,2.619097436,0,,SOMERSET,,
Ingham,,,7,Augustinian,Trinitarian,Friars,1536,52.779067,1.543794,,61,4.110873864,0,1,0,0,1,0,2.091033887,0,0,NORFOLK,,
Ipswich,,Ipswich,7,Franciscan,"Friars Minor, Conventual",Friars,1538,52.054935,1.150381,Cambridge,,,2,0,1,0,1,0,1.380578937,0,,SUFFOLK,,
Ipswich Blackfriars,,Ipswich,7,Dominican,,Friars,1538,52.055,1.1584,Cambridge,,,2,0,1,0,1,0,1.387975954,0,,SUFFOLK,,
Ipswich Whitefriars,,Ipswich,7,Carmelites,,,1538,52.05659,1.15378,,,,2,0,1,0,1,0,1.384355215,0,,SUFFOLK,,
Ivychurch Priory,,Alderbury,8,Augustinian,,Canons,1536,51.0481,-1.7412,,122,4.804021045,0,1,0,0,1,0,1.687544139,0,0,WILTSHIRE,,
Ixworth Priory,,Ixworth,7,Augustinian,,Canons,1537,52.298,0.829,,168,5.123963979,1,1,0,0,1,0,1.232048055,0,0,SUFFOLK,,
Jarrow Priory,,Jarrow,2,Benedictine,,Monks,1536,54.980375,-1.472183,Durham,38,3.63758616,0,1,0,0,1,0,3.725190386,0,0,DURHAM,complicated,
Jervaulx Abbey,,East Witton,3,Cistercian,,Monks,1537,54.267011,-1.737966,Byland,234,5.455321115,1,1,0,1,0,1,3.197667198,0,0,"YORKSHIRE, NORTH RIDING",1145,https://www.british-history.ac.uk/vch/yorks/vol3/pp138-142
Keldholme Priory,,,3,Cistercian,,Nuns,1536,54.266578,-0.915666,,29,3.36729583,0,1,0,0,1,1,2.869640011,1,29,"YORKSHIRE, NORTH RIDING",1118,"https://www.british-history.ac.uk/vch/yorks/vol3/pp167-170 says KH1, tagged to middle"
Kersal,,,1,Benedictine,Cluniac,Monks,1538,53.510122,-2.288557,,18,2.890371758,2,1,0,0,1,1,2.951503279,0,0,LANCASHIRE,,
Kerswell Priory,,Broadhembury,8,Benedictine,Cluniac,,1538,50.849253,-3.316734,,28,3.33220451,2,1,0,0,1,0,3.266166876,0,0,DEVON,,
Keynsham Abbey,Bath Wells,Keynsham,8,Augustinian,Victorine,Canons,1539,51.4172,-2.4961,,419,6.03787092,3,1,0,1,0,0,2.379810043,0,0,SOMERSET,,
Kilburn Priory Augustinians,,Kilburn,10,Augustinian,,Canonesses,1537,51.541,-0.1896,,,,1,1,0,0,1,0,0.077931059,1,,MIDDLESEX,,
Kilburn Priory Benedictines,,,10,Benedictine,,Nuns,1536,51.541066,-0.198922,,74,4.304065093,0,1,0,0,1,0,0.086586905,1,74,MIDDLESEX,,
King's Langley Priory,,King's Langley,7,Dominican,,Friars,1538,51.713,-0.4603,Cambridge,,,2,0,1,0,1,0,0.397881691,0,,HERTFORDSHIRE,,
Kings Lynn Augustinians,,Kings Lynn,7,Augustinian,Austin Friars,Friars,1538,52.756866,0.396908,Cambridge,,,2,1,0,0,1,0,1.349039681,0,,NORFOLK,,
Kings Lynn Carmelites,,Kings Lynn,7,Carmelites,,,1538,52.7486,0.397551,,,,2,0,1,0,1,0,1.341650444,0,,NORFOLK,,
Kings Lynn Franciscans,,Kings Lynn,7,Franciscan,"Friars Minor, Conventual",Friars,1538,52.7514,0.399,Cambridge,,,2,0,1,0,1,0,1.344792315,0,,NORFOLK,,
King's Lynn Priory Benedictines,,King's Lynn,7,Benedictine,,Monks,1539,52.751422,0.395442,Norwich Cathedral,25,3.218875825,3,1,0,0,1,0,1.343448536,0,0,NORFOLK,,
King's Lynn Priory Dominicans,,King's Lynn,7,Dominican,,Friars,1538,52.753504,0.399611,Cambridge,,,2,0,1,0,1,0,1.346969516,0,,NORFOLK,,
King's Mead Priory,,Derby,6,Benedictine,,Nuns,1536,52.926556,-1.489385,,18,2.890371758,0,1,0,0,1,0,1.971561171,1,18,DERBYSHIRE,,
Kingston Upon Hull,,Kingston Upon Hull,3,Augustinian,Austin Friars,Friars,1539,53.741253,-0.33304,York,,,3,1,0,0,1,1,2.241581842,0,,"YORKSHIRE, EAST RIDING",,
Kingswood Abbey,,Kingswood,8,Cistercian,,Monks,1538,51.626558,-2.366789,,232,5.446737372,2,1,0,1,0,0,2.251707793,0,0,WILTSHIRE,,
Kington St Michael Priory,,Kington St Michael,8,Benedictine,,Nuns,1536,51.499216,-1.154959,,25,3.218875825,0,1,0,0,1,0,1.036915079,1,25,BERKSHIRE,,
Kirby Bellars Priory,,Kirby Bellars,6,Augustinian,Canons Regular,Canons,1536,52.75872,-0.938524,,142,4.955827058,0,1,0,0,1,0,1.494120871,0,0,LEICESTERSHIRE,,
Kirkham Priory,,,3,Augustinian,,Canons,1539,54.082917,-0.876959,,269,5.59471138,3,1,0,1,0,1,2.682493033,0,0,"YORKSHIRE, EAST RIDING",1122,https://www.english-heritage.org.uk/visit/places/kirkham-priory/history/
Kirklees Priory,,Clifton,3,Cistercian,,Nuns,1539,53.6951,-1.7372,,19,2.944438979,3,1,0,0,1,1,2.719585781,1,19,"YORKSHIRE, WEST RIDING",1236,https://www.british-history.ac.uk/vch/yorks/vol3/p170
Kirkstall Abbey,,Leeds,3,Cistercian,,Monks,1539,53.821358,-1.608018,Fountains,329,5.796057751,3,1,0,1,0,1,2.749951172,0,0,"YORKSHIRE, WEST RIDING",,
