name,diocese,town,region,order,typeHouse,members,year,latitude,longitude,mother hou,NAnetInc,lnInc,survival,bigOrder,smallOrder,bigHouse,smallHouse,rebel,distLond,ladyHouse,ladyInc,county,founded,foundedSource
Barnwell Priory,,,7,Augustinian,,Canons,1538,52.209027,0.13852,,256,5.545177444,2,1,0,1,0,0,0.744642579,0,0,CAMBRIDGESHIRE,,
Barrow Camera,,Barrow upon Trent,6,Augustinian,Knights Hospitaller,,1540,52.863,-1.501,Yeaveley,,,4,1,0,0,1,0,1.93468897,0,,DERBYSHIRE,,
Barrow Gurney Nunnery,,Barrow Gurney,8,Benedictine,,Nuns,1536,51.4073,-2.6748,,24,3.17805383,0,1,0,0,1,0,2.558761845,1,24,SOMERSET,,
Baswich Priory,,,5,Augustinian,,Canons,1538,52.803718,-2.074855,,141,4.94875989,2,1,0,0,1,0,2.345761368,0,0,STAFFORDSHIRE,,
Bath Abbey,Bath Wells,Bath,8,Benedictine,,Monks,1539,51.381481,-2.358648,,617,6.424869024,3,1,0,1,0,0,2.244230931,0,0,SOMERSET,,
Battisford Preceptory,,,7,Augustinian,Knights Hospitaller,,1540,52.148965,0.989523,,52,3.951243719,4,1,0,0,1,0,1.278712236,0,0,SUFFOLK,,
Battle Abbey,,Battle,9,Benedictine,,Monks,1538,50.914503,0.48773,,880,6.779921907,2,1,0,1,0,0,0.84949789,0,0,SUSSEX,,
Baysdale Priory,,Baysdale,3,Cistercian,,Nuns,1536,54.451615,-1.043745,,20,2.995732274,0,1,0,0,1,1,3.083815409,1,20,"YORKSHIRE, NORTH RIDING",1162,https://www.british-history.ac.uk/vch/yorks/vol3/pp158-160
Beauchief Abbey,,Sheffield,3,Premonstratensian,,Canons,1537,53.333194,-1.500849,,126,4.836281907,1,0,1,0,1,1,2.288237566,0,0,DERBYSHIRE,,
Beaulieu Abbey,,Beaulieu,9,Cistercian,,Monks,1538,50.821882,-1.449883,Citeaux,326,5.786897381,2,1,0,1,0,0,1.49905048,0,0,HAMPSHIRE,,
Beauvale Charterhouse,,Hucknall,6,Carthusian,,Monks,1539,53.036478,-1.267416,,196,5.278114659,3,0,1,0,1,0,1.910775328,0,0,NOTTINGHAMSHIRE,1343,https://www.british-history.ac.uk/vch/notts/vol2/pp105-109
Bedford,,Bedford,7,Franciscan,"Friars Minor, Conventual",Friars,1538,52.138848,-0.474842,Oxford,3,1.098612289,2,0,1,0,1,0,0.722990084,0,0,BEDFORDSHIRE,,
Beeleigh Abbey,,Maldon,7,Premonstratensian,,Canons,1540,51.7379,0.6635,,157,5.056245805,4,0,1,0,1,0,0.814148003,0,0,ESSEX,,
Beeston Priory,,Beeston Regis,7,Augustinian,,Canons,1539,52.938772,1.224176,,43,3.761200116,3,1,0,0,1,0,1.960381159,0,0,NORFOLK,,
Belvoir Priory,,Belvoir,6,Benedictine,,Monks,1539,52.89847,-0.781633,St Albans Abbey,98,4.584967479,3,1,0,0,1,0,1.538871334,0,0,LEICESTERSHIRE,,
Berden Priory,,Berden,7,Augustinian,,Canons,1536,51.951199,0.126372,,29,3.36729583,0,1,0,0,1,0,0.504403724,0,0,ESSEX,,
Bermondsey Abbey Cluniacs,,Bermondsey,9,Benedictine,Cluniac,Monks,1538,51.49691,-0.079638,,464,6.139884552,2,1,0,1,0,0,0.040628482,0,0,SURREY,,
Bermondsey Abbey Non-Cluniacs,,Bermondsey,10,Benedictine,,Monks,1536,51.2951,-0.451,,474,6.161207322,0,1,0,1,0,0,0.396237833,0,0,SURREY,,
Beverley Dominicans,,Beverley,3,Dominican,,Friars,1539,53.84,-0.421108,York,,,3,0,1,0,1,1,2.349619937,0,,"YORKSHIRE, EAST RIDING",,
Beverley Franciscans,,Beverley,3,Franciscan,"Friars Minor, Conventual",Friars,1539,53.837008,-0.435626,York,,,3,0,1,0,1,1,2.348571692,0,,"YORKSHIRE, EAST RIDING",,
Beverley Preceptory,,Beverley,3,Augustinian,Knights Hospitaller,,1540,53.842641,-0.422826,,164,5.099866428,4,1,0,0,1,1,2.352460833,0,0,"YORKSHIRE, EAST RIDING",1201,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=79111&resourceID=19191
Bicester Priory,,Bicester,9,Augustinian,,Canons,1536,51.895069,-1.152717,,147,4.990432587,0,1,0,0,1,0,1.103952205,0,0,OXFORDSHIRE,,
Biddlesden Abbey,,Biddlesden,9,Cistercian,,Monks,1538,52.0539,-1.0797,Garendon,125,4.828313737,2,1,0,0,1,0,1.104763219,0,0,BUCKINGHAMSHIRE,,
Bilsington Priory,,,9,Augustinian,,Canons,1536,51.082611,0.915936,,81,4.394449155,0,1,0,0,1,0,1.118879711,0,0,KENT,,
Bindon Abbey,,Wool,8,Cistercian,,Monks,1539,50.680561,-2.218085,Forde,147,4.990432587,3,1,0,0,1,0,2.257854303,0,0,DORSET,,
Binham Priory,,Binham,7,Benedictine,,Monks,1539,52.920148,0.94684,St Albans Abbey,101,4.615120517,3,1,0,0,1,0,1.767092127,0,0,NORFOLK,,
Birkenhead Priory,,Birkenhead,1,Benedictine,,Monks,1536,53.393757,-3.0420025,,90,4.49980967,0,1,0,0,1,0,3.478181459,0,0,CHESHIRE,1150,https://thebirkenheadpriory.org/history/
Bisham Abbey,,Bisham,9,Benedictine,,Monks,1538,51.558012,-0.779185,,,,2,1,0,0,1,0,0.662826168,0,,BERKSHIRE,,
Bisham Priory,,Bisham,9,Augustinian,,Canons,1536,51.558012,-0.779185,,185,5.220355825,0,1,0,0,1,0,0.662826168,0,0,BERKSHIRE,,
"Black Friars, Winchelsea",,Winchelsea,9,Dominican,,Friars,1538,50.926836,0.706738,London,,,2,0,1,0,1,0,1.010167302,0,,SUSSEX,,
Black Ladies Priory,,Brewood,5,Benedictine,,Nuns,1538,52.6815,-2.2271,,11,2.397895273,2,1,0,0,1,0,2.412528394,1,11,STAFFORDSHIRE,,
Blackborough Priory,,,7,Benedictine,,Nuns,1537,52.698471,0.475943,,42,3.737669618,1,1,0,0,1,0,1.328664895,1,42,NORFOLK,,
Blackfriars Arundel,,Arundel,9,Dominican,,Friars,1538,50.854094,-0.552334,London,,,2,0,1,0,1,0,0.786620523,0,,SUSSEX,,
Blackfriars Chelmsford,,Chelmsford,7,Dominican,,Friars,1538,51.731207,0.472736,London,,,2,0,1,0,1,0,0.630888037,0,,ESSEX,,
Blackfriars Chester,,Chester,1,Dominican,,Friars,1538,53.189481,-2.895392,Oxford,,,2,0,1,0,1,0,3.245613545,0,,CHESHIRE,,
Blackfriars Chichester,,Chichester,9,Dominican,,Friars,1538,50.835009,-0.775578,London,,,2,0,1,0,1,0,0.942279242,0,,SUSSEX,,
"Blackfriars, Boston",,Boston,6,Dominican,,Friars,1539,52.9756,-0.0227,York,,,3,0,1,0,1,1,1.468701644,0,,LINCOLNSHIRE,,
"Blackfriars, Bristol",,Broadmead,8,Dominican,,Friars,1538,51.457296,-2.58772,London,,,2,0,1,0,1,0,2.470182312,0,,GLOUCESTERSHIRE,,
"Blackfriars, Canterbury",,Canterbury,9,Dominican,,Friars,1538,51.281389,1.079444,London,,,2,0,1,0,1,0,1.219169644,0,,KENT,,
"Blackfriars, Derby",,Derby,6,Dominican,,Friars,1539,52.923311,-1.483827,Oxford,,,3,0,1,0,1,0,1.965364654,0,,DERBYSHIRE,,
"Blackfriars, Gloucester",,Gloucester,8,Dominican,,Friars,1539,51.864249,-2.248558,Oxford,,,3,0,1,0,1,0,2.159709157,0,,GLOUCESTERSHIRE,,
"Blackfriars, Leicester",,Leicester,6,Dominican,,Friars,1538,52.636657,-1.142333,Oxford,,,2,0,1,0,1,0,1.522632337,0,,LEICESTERSHIRE,,
"Blackfriars, Lincoln",,Lincoln,6,Dominican,,Friars,1539,53.23118,-0.532876,York,,,3,0,1,0,1,1,1.770451841,0,,LINCOLNSHIRE,,
"Blackfriars, Newcastle",,Newcastle upon Tyne,2,Dominican,,Friars,1536,54.971726,-1.619701,York,,,0,0,1,0,1,0,3.773374148,0,,NORTHUMBERLAND,,
"Blackfriars, Norwich",,Norwich,7,Dominican,,Friars,1538,52.633336,1.294697,Cambridge,,,2,0,1,0,1,0,1.804959593,0,,NORFOLK,,
Blanchland Abbey,,Blanchland,2,Premonstratensian,,Canons,1539,54.848211,-2.055905,Croxton Abbey,40,3.688879454,3,0,1,0,1,1,3.859888716,0,0,NORTHUMBERLAND,1165,https://www.british-history.ac.uk/vch/leics/vol2/pp28-31
Blyth Priory,,Blyth,6,Benedictine,,Monks,1536,53.378826,-1.063458,,113,4.727387819,0,1,0,0,1,0,2.094328619,0,0,NOTTINGHAMSHIRE,1088,https://www.british-history.ac.uk/vch/notts/vol2/pp83-88
Blythburgh Priory,,Blythburgh,7,Augustinian,,Canons,1537,52.3217,1.5965,,48,3.871201011,1,1,0,0,1,0,1.897026634,0,0,SUFFOLK,,
Bodmin,,Bodmin,8,Franciscan,"Friars Minor, Conventual",Friars,1538,50.47055,-4.719204,Bristol,,,2,0,1,0,1,0,4.717055684,0,,CORNWALL,,
Bolton Priory,,Bolton Abbey,3,Augustinian,,Canons,1540,53.983708,-1.88836,,213,5.361292166,4,1,0,1,0,1,3.041882926,0,0,"YORKSHIRE, WEST RIDING",1120,http://www.boltonpriory.org.uk/the-priory-in-history/
Bordesley Abbey,,Redditch,5,Cistercian,,Monks,1538,52.316667,-1.933889,Garendon,388,5.96100534,2,1,0,1,0,0,1.986907482,0,0,WORCESTERSHIRE,,
Boston,,Boston,6,Carmelites,,,1539,52.9753,-0.0256,,,,3,0,1,0,1,1,1.468216721,0,,LINCOLNSHIRE,,
Bourne Abbey,,Bourne,6,Augustinian,Arrouaisian,Canons,1536,52.766322,-0.375556,,167,5.117993812,0,1,0,0,1,1,1.282430723,0,0,LINCOLNSHIRE,,
Boxgrove Priory,,Boxgrove,9,Benedictine,,Monks,1536,50.860475,-0.711051,,145,4.976733742,0,1,0,0,1,0,0.879473487,0,0,SUSSEX,,
Boxley Abbey,,Boxley,9,Cistercian,,Monks,1537,51.300026,0.524809,Clairvaux,204,5.318119994,1,1,0,1,0,0,0.676329108,0,0,KENT,,
Bradenstoke Priory,,Bradenstoke,8,Augustinian,Canons Regular,Canons,1539,51.512222,-2.003611,,212,5.356586275,3,1,0,1,0,0,1.885512309,0,0,WILTSHIRE,,
Bradley Priory,,Bradley,6,Augustinian,,Canons,1536,52.550455,-0.787116,,20,2.995732274,0,1,0,0,1,0,1.236983838,0,0,LEICESTERSHIRE,,
Breadsall Priory,,Breadsall,6,Augustinian,Canons Regular,Canons,1536,52.968767,-1.435672,,10,2.302585093,0,1,0,0,1,0,1.965705251,0,0,DERBYSHIRE,,
Breamore Priory,,Breamore,9,Augustinian,Austin Friars,Friars,1536,50.97085,-1.78419,,154,5.036952602,0,1,0,0,1,0,1.751153509,0,0,HAMPSHIRE,,
Breedon Priory,,Breedon on the Hill,6,Augustinian,Canons Regular,Canons,1539,52.806089,-1.399961,,24,3.17805383,3,1,0,0,1,0,1.822913689,0,0,LEICESTERSHIRE,,
Bridgend Priory,,Horbling,6,Gilbertine,,Canons,1538,52.9109,-0.3009,,5,1.609437912,2,0,1,0,1,1,1.412776221,0,0,LINCOLNSHIRE,,
Bridgnorth,,Bridgnorth,5,Franciscan,"Friars Minor, Conventual",Friars,1538,52.537041,-2.416122,Worcester,,,2,0,1,0,1,0,2.517085284,0,,SHROPSHIRE,,
Bridgwater Friary,,Bridgwater,8,Franciscan,"Friars Minor, Conventual",Friars,1538,51.1252,-3.0071,Bristol,,,2,0,1,0,1,0,2.914514032,0,,SOMERSET,,
Bridlington Priory,,Bridlington,3,Augustinian,Canons Regular,Canons,1538,54.094307,-0.202061,,547,6.304448802,2,1,0,1,0,1,2.585670536,0,0,"YORKSHIRE, EAST RIDING",1113,https://bridlingtonpriory.co.uk/history-of-bridlington-priory/
Brinkburn Priory,,Brinkburn,2,Augustinian,,Canons,1536,55.278899,-1.818879,,68,4.219507705,0,1,0,0,1,1,4.134881967,0,0,NORTHUMBERLAND,1133,https://www.english-heritage.org.uk/visit/places/brinkburn-priory/history/
Bristol,,Bristol,8,Franciscan,"Friars Minor, Conventual",Friars,1538,51.458098,-2.595649,Bristol,,,2,0,1,0,1,0,2.478092586,0,,GLOUCESTERSHIRE,,
Bristol St James' Priory,,Bristol,8,Benedictine,,Monks,1540,51.4586139,-2.5954406,Tewkesbury,57,4.043051268,4,1,0,0,1,0,2.477873479,0,0,GLOUCESTERSHIRE,,
Broadholme Priory,,Broadholme,6,Premonstratensian,,Canonesses,1536,53.2514,-0.6609,Newsham Abbey,,,0,0,1,0,1,1,1.824035581,1,,NOTTINGHAMSHIRE,1154,https://www.heritagegateway.org.uk/Gateway/Results_Single.aspx?uid=324741&resourceID=19191
Bromfield Priory,,Bromfield,5,Benedictine,,Monks,1540,52.3869,-2.7633,,77,4.343805422,4,1,0,0,1,0,2.78676096,0,0,SHROPSHIRE,,
Bromholm Priory,,Bacton,7,Benedictine,Cluniac,,1536,52.844479,1.487463,,100,4.605170186,0,1,0,0,1,0,2.087742022,0,0,NORFOLK,,
Brooke Priory,,Brooke,6,Augustinian,Canons Regular,Canons,1535,52.646425,-0.752724,,43,3.761200116,-1,1,0,0,1,0,1.301617994,0,0,RUTLAND,,
Bruern Abbey,,Burford,9,Cistercian,,Monks,1536,51.867,-1.636,Waverley Abbey,124,4.820281566,0,1,0,0,1,0,1.559316969,0,0,OXFORDSHIRE,,
Bruisyard Abbey,,,7,Franciscan,Poor Clares,Nuns,1539,52.244456,1.417467,,56,4.025351691,3,0,1,0,1,0,1.70217262,1,56,SUFFOLK,,
Bruton Abbey,Bath Wells,Bruton,8,Augustinian,,Canons,1539,51.111113,-2.45184,,439,6.084499413,3,1,0,1,0,0,2.367583837,0,0,SOMERSET,,
Buckfast Abbey,,Buckfastleigh,8,Cistercian,,Monks,1538,50.492984,-3.775765,Savigny,466,6.144185634,2,1,0,1,0,0,3.796423948,0,0,DEVON,,
Buckland Abbey,,Buckland Monachorum,8,Cistercian,,Monks,1539,50.481262,-4.132979,Quarr,241,5.484796933,3,1,0,1,0,0,4.144581433,0,0,DEVON,,
Buckland Priory,Bath Wells,Lower Durston,8,Augustinian,,Canonesses,1539,51.048571,-3.013443,,223,5.407171771,3,1,0,1,0,0,2.931881275,1,223,SOMERSET,,
Buildwas Abbey,,Buildwas,5,Cistercian,,Monks,1536,52.635376,-2.528464,Savigny,110,4.700480366,0,1,0,0,1,0,2.660136416,0,0,SHROPSHIRE,,
Bullington Priory,,Bullington,6,Gilbertine,,Mixed,1538,53.275422,-0.351087,,158,5.062595033,2,0,1,0,1,1,1.780729564,0,0,LINCOLNSHIRE,,
Bungay Priory,,Bungay,7,Benedictine,,Nuns,1536,52.455532,1.438023,,61,4.110873864,0,1,0,0,1,0,1.820865057,1,61,SUFFOLK,,
Burnham Abbey,,Burnham,9,Augustinian,,Canonesses,1539,51.515594,-0.660624,,51,3.931825633,3,1,0,0,1,0,0.542552839,1,51,BUCKINGHAMSHIRE,,
Burnham Norton Friary,,Burnham Norton,7,Carmelites,,Frairs,1538,52.9509,0.7348,,,,2,0,1,0,1,0,1.674404736,0,,NORFOLK,,
Burscough Priory,,,1,Augustinian,,Canons,1536,53.583099,-2.85629,,80,4.382026635,0,1,0,0,1,1,3.434446672,0,0,LANCASHIRE,1190,https://www.british-history.ac.uk/vch/lancs/vol2/pp148-152
Burtle Moor,,Moorlynch,8,Augustinian,,Canons,1536,51.1713,-2.873,,6,1.791759469,0,1,0,0,1,0,2.775642574,0,0,SOMERSET,,
Burton Abbey,,Burton Upon Trent,5,Benedictine,,Monks,1539,52.801418,-1.628943,,267,5.587248658,3,1,0,1,0,0,1.987563086,0,0,STAFFORDSHIRE,,
Bury St Edmunds Abbey,,Bury St Edmunds,7,Benedictine,,Monks,1539,52.243679,0.718851,,1656,7.412160335,3,1,0,1,0,0,1.113001281,0,0,SUFFOLK,,
Bushmead Priory,,Staploe,7,Augustinian,,Canons,1536,52.233611,-0.3675,,71,4.262679877,0,1,0,0,1,0,0.765384374,0,0,BEDFORDSHIRE,,
Butley Priory,,Butley,7,Augustinian,,Canons,1538,52.089968,1.46524,,318,5.762051383,2,1,0,1,0,0,1.686217197,0,0,SUFFOLK,,
Byland Abbey,,Byland with Wass,3,Cistercian,,Monks,1539,54.203499,-1.158693,,238,5.472270674,3,1,0,1,0,1,2.88751981,0,0,"YORKSHIRE, NORTH RIDING",,
Calder Abbey,,Calderbridge,1,Cistercian,,Monks,1536,54.444167,-3.466111,Furness Abbey,50,3.912023005,0,1,0,0,1,1,4.451798922,0,0,CUMBERLAND,1134,https://www.british-history.ac.uk/vch/cumb/vol2/pp174-178
Caldwell Priory,,Bedford,7,Augustinian,,Canons,1536,52.12944,-0.47649,,109,4.691347882,0,1,0,0,1,0,0.715646076,0,0,BEDFORDSHIRE,,
Calke Priory,,Calke,6,Augustinian,,Canons,1538,52.798544,-1.457264,Repton,6,1.791759469,2,1,0,0,1,0,1.858414878,0,0,DERBYSHIRE,,
Calwich Priory,,,5,Augustinian,,Canons,1536,52.986818,-1.809646,,3,1.098612289,0,1,0,0,1,0,2.245510916,0,0,STAFFORDSHIRE,,
Cambridge,,Cambridge,7,Franciscan,"Friars Minor, Conventual",Friars,1538,52.207791,0.119932,Cambridge,,,2,0,1,0,1,0,0.737273025,0,,CAMBRIDGESHIRE,,
Cambridge Blackfriars,,Cambridge,7,Dominican,,Friars,1538,52.214188,0.10856,Cambridge,,,2,0,1,0,1,0,0.73976719,0,,CAMBRIDGESHIRE,,
Cambridge Whitefriars,,Cambridge,7,Carmelites,,,1538,52.1981,0.1084,,,,2,0,1,0,1,0,0.724419671,0,,CAMBRIDGESHIRE,,
Campsey Ash Priory,,Wickham Market,7,Augustinian,,Canonesses,1536,52.1396,1.3865,,182,5.204006687,0,1,0,0,1,0,1.631017265,1,182,SUFFOLK,,
Cannington Nunnery,Bath Wells,Cannington,8,Benedictine,,Nuns,1536,51.1504,-3.0627,,39,3.663561646,0,1,0,0,1,0,2.966476246,1,39,SOMERSET,,
Canons Ashby Priory,,Canons Ashby,6,Augustinian,Canons Regular,Canons,1536,52.149959,-1.156848,,119,4.779123493,0,1,0,0,1,0,1.220059396,0,0,NORTHAMPTONSHIRE,,
Canonsleigh Abbey,,Burlescombe,8,Augustinian,,Canonesses,1539,50.948056,-3.329444,,197,5.283203729,3,1,0,0,1,0,3.260139774,1,197,DEVON,,
Canterbury Cathedral College,,Oxford,9,Benedictine,,Monks,1539,51.7535,-1.25,Canterbury Cathedral,,,3,1,0,0,1,0,1.157795258,0,,OXFORDSHIRE,,
Canterbury Cathedral Priory,,Canterbury,9,Benedictine,,Monks,1539,51.279722,1.083056,,2349,7.761744985,3,1,0,1,0,0,1.223030537,0,0,KENT,,
Carbrooke Preceptory,,,7,Augustinian,Knights Hospitaller,,1540,52.581693,0.878225,,69,4.234106505,4,1,0,0,1,0,1.463280353,0,0,NORFOLK,,
Carham,,,2,Augustinian,,Canons,1539,55.6389,-2.324166,Kirkham,31,3.433987204,3,1,0,0,1,1,4.681297086,0,0,NORTHUMBERLAND,,
Carlisle,,Carlisle,1,Dominican,,Friars,1539,54.892223,-2.935675,York,,,3,0,1,0,1,1,4.402063301,0,,CUMBERLAND,,
Carlisle Cathedral,,Carlisle,1,Augustinian,Canons Regular,Canons,1536,54.894722,-2.938611,,418,6.035481433,0,1,0,1,0,1,4.405862608,0,0,CUMBERLAND,,
Carlisle Friary,,Carlisle,1,Franciscan,"Friars Minor, Conventual",Friars,1539,54.89523,-2.93643,Newcastle,,,3,0,1,0,1,1,4.404857108,0,,CUMBERLAND,,
Carrow Abbey,,Bracondale,7,Benedictine,,Monks,1538,52.618,1.310806,,64,4.158883083,2,1,0,0,1,0,1.808158278,0,0,NORFOLK,,
Cartmel Priory,,Lower Allithwaite,1,Augustinian,Canons Regular,Canons,1536,54.201107,-2.951892,,91,4.510859507,0,1,0,0,1,1,3.90799616,0,0,LANCASHIRE,1190,https://www.british-history.ac.uk/vch/lancs/vol2/pp143-148 says shortly after accession of KR1
Castle Acre Priory,,Castle Acre,7,Benedictine,Cluniac,,1537,52.700666,0.683798,,306,5.723585102,1,1,0,1,0,0,1.435522875,0,0,NORFOLK,,
Castle Hedingham Priory,,Castle Hedingham,7,Benedictine,,Nuns,1535,51.99009,0.588343,,29,3.36729583,-1,1,0,0,1,0,0.854135891,1,29,ESSEX,,
Catesby Priory,,Lower Catesby,6,Cistercian,,Nuns,1536,52.2316,-1.2474,,132,4.882801923,0,1,0,0,1,0,1.340158591,1,132,NORTHAMPTONSHIRE,,
Catley Priory,,Walcott,6,Gilbertine,,Mixed,1538,53.085461,-0.33148,,34,3.526360525,2,0,1,0,1,1,1.589845397,0,0,LINCOLNSHIRE,,
Cerne Abbey,,Cerne Abbas,8,Benedictine,,Monks,1539,50.810445,-2.476116,,575,6.354370041,3,1,0,1,0,0,2.459596848,0,0,DORSET,,
Chacombe Priory,,Chacombe,6,Augustinian,,Canons,1536,52.0911,-1.2884,,83,4.418840608,0,1,0,0,1,0,1.306628983,0,0,NORTHAMPTONSHIRE,,
Charterhouse London,,City of London,10,Carthusian,,Monks,1537,51.521372,-0.100136,,642,6.464588304,1,0,1,1,0,0,0.021260943,0,0,MIDDLESEX,,
"Charterhouse, Kingston upon Hull",,Kingston upon Hull,3,Carthusian,,Monks,1538,53.74899,-0.335365,,174,5.159055299,2,0,1,0,1,1,2.249506679,0,0,"YORKSHIRE, EAST RIDING",1290,"https://www.british-history.ac.uk/vch/yorks/vol3/pp190-192 during reign of Edward I, tagged to middle"
Chatteris Abbey,,Chatteris,7,Benedictine,,Nuns,1538,52.453,0.0489,,97,4.574710979,2,1,0,0,1,0,0.957673222,1,97,CAMBRIDGESHIRE,,
Chertsey Abbey,,Chertsey,9,Benedictine,,Monks,1537,51.395,-0.5031,,659,6.490723535,1,1,0,1,0,0,0.401808412,0,0,SURREY,,
Chester Carmelite Friary,,Chester,1,Carmelites,,,1538,53.188819,-2.893225,,,,2,0,1,0,1,0,3.243416717,0,,CHESHIRE,,
Chester Franciscan Friary,,Chester,1,Franciscan,"Friars Minor, Conventual",Friars,1538,53.188198,-2.892541,Worcester,,,2,0,1,0,1,0,3.242510045,0,,CHESHIRE,,
Chesunt Priory,,,7,Benedictine,,Nuns,1536,51.717561,-0.018904,,14,2.63905733,0,1,0,0,1,0,0.23004655,1,14,HERTFORDSHIRE,,
Chetwode Priory,,Chetwode,9,Augustinian,,Canons,1538,51.963091,-1.069469,Notley,,,2,1,0,0,1,0,1.053752546,0,,BUCKINGHAMSHIRE,,
Chichester Friary,,Chichester,1,Franciscan,"Friars Minor, Conventual",Friars,1538,50.839571,-0.776438,London,,,2,0,1,0,1,0,0.939619054,0,,SUSSEX,,
Chicksands Priory,,,7,Gilbertine,,Mixed,1538,52.040896,-0.366417,,212,5.356586275,2,0,1,1,0,0,0.586098878,0,0,BEDFORDSHIRE,,
Chippenham Preceptory,,Chippenham,7,Augustinian,Knights Hospitaller,,1540,52.3005,0.4388,,33,3.496507561,4,1,0,0,1,0,0.966968386,0,0,CAMBRIDGESHIRE,,
Chirbury Priory,,Chirbury,5,Augustinian,,Canons,1536,52.579561,-3.091133,,66,4.189654742,0,1,0,0,1,0,3.159570533,0,0,SHROPSHIRE,,
Christchurch Priory,,Christchurch,8,Augustinian,,Canons,1539,50.732177,-1.774374,,312,5.743003188,3,1,0,1,0,0,1.829822992,0,0,HAMPSHIRE,,
Church Gresley Priory,,Church Gresley,6,Augustinian,,Canons,1536,52.759793,-1.56703,,31,3.433987204,0,1,0,0,1,0,1.913473461,0,0,DERBYSHIRE,,
Church Preen,,,5,Benedictine,Cluniac,,1539,52.578879,-2.675382,,6,1.791759469,3,1,0,0,1,0,2.771677027,0,0,SHROPSHIRE,,
Cirencester Abbey,,Cirencester,8,Augustinian,,Canons,1539,51.718933,-1.966144,,1051,6.957497371,3,1,0,1,0,0,1.859817094,0,0,GLOUCESTERSHIRE,,
Clare Priory,,Clare,7,Augustinian,Austin Friars,Friars,1538,52.0751,0.5814,Cambridge,,,2,1,0,0,1,0,0.89924316,0,,SUFFOLK,,
Clattercote Priory,,Clattercote,9,Gilbertine,,Canons,1538,52.139338,-1.332007,,34,3.526360525,2,0,1,0,1,0,1.367346526,0,0,OXFORDSHIRE,,
Cleeve Abbey,,Old Cleeve,8,Cistercian,,Monks,1537,51.157446,-3.363547,Revesby,155,5.043425117,1,1,0,0,1,0,3.264539868,0,0,SOMERSET,,
Clifford Priory,,,5,Benedictine,Cluniac,Monks,1536,52.094214,-3.091332,,57,4.043051268,0,1,0,0,1,0,3.030084904,0,0,HEREFORDSHIRE,,
Cockersand Abbey,,,1,Premonstratensian,,Canons,1539,53.976723,-2.874581,,157,5.056245805,3,0,1,0,1,1,3.699041749,0,0,LANCASHIRE,1204,https://www.british-history.ac.uk/vch/lancs/vol2/pp154-159
Coggeshall Abbey,,Coggeshall,7,Cistercian,,Monks,1538,51.869167,0.6925,Savigny,251,5.525452939,2,1,0,1,0,0,0.886607745,0,0,ESSEX,,
Colchester,,Colchester,7,Crutched Friars,,Friars,1538,51.887531,0.891692,,,,2,0,1,0,1,0,1.078058226,0,,ESSEX,,
Colchester Abbey,,Colchester,7,Benedictine,,Monks,1539,51.885538,0.901371,,523,6.259581464,3,1,0,1,0,0,1.086439096,0,0,ESSEX,,
Colchester Friary,,Colchester,7,Franciscan,"Friars Minor, Conventual",Friars,1538,51.890074,0.905888,Cambridge,,,2,0,1,0,1,0,1.092248905,0,,ESSEX,,
Colne Priory,,Earls Colne,7,Benedictine,,Monks,1536,51.9267,0.71,Abingdon Abbey,156,5.049856007,0,1,0,0,1,0,0.927032092,0,0,ESSEX,,
Combe Abbey,,,5,Cistercian,,Monks,1539,52.414282,-1.408176,Waverley Abbey,311,5.739792912,3,1,0,1,0,0,1.575443436,0,0,WARWICKSHIRE,,
Combermere Abbey,,Burleydam,1,Cistercian,,Monks,1539,52.993611,-2.613889,Savigny,225,5.416100402,3,1,0,1,0,0,2.903457307,0,0,CHESHIRE,1133,https://combermereabbey.co.uk/abbey/
Combwell Priory,,,9,Augustinian,,Canons,1536,51.073854,0.43388,,30,3.401197382,0,1,0,0,1,0,0.703495027,0,0,KENT,,
Conishead Priory,,,1,Augustinian,,Canons,1536,54.173143,-3.067932,,97,4.574710979,0,1,0,0,1,1,3.974146382,0,0,LANCASHIRE,1181,https://www.british-history.ac.uk/vch/lancs/vol2/pp140-143
Cook Hill Priory,,,5,Cistercian,,Nuns,1538,52.213024,-1.923863,,34,3.526360525,2,1,0,0,1,0,1.937788109,1,34,WORCESTERSHIRE,,
Cornworthy Priory,,Cornworthy,8,Augustinian,,Canonesses,1536,50.3885,-3.6588,,63,4.143134726,0,1,0,0,1,0,3.714070374,1,63,DEVON,,
Coverham Abbey,,Coverham,3,Premonstratensian,,Canons,1536,54.2732,-1.8387,,160,5.075173815,0,0,1,0,1,1,3.255109614,0,0,"YORKSHIRE, NORTH RIDING",1212,https://www.british-history.ac.uk/vch/yorks/vol3/pp243-245
Cowick Priory,,Cowick,8,Benedictine,,Monks,1538,50.713,-3.554,Tavistock,78,4.356708827,2,1,0,0,1,0,3.527125999,0,0,DEVON,,
Coxford Priory,,Coxford,7,Augustinian,Canons Regular,Canons,1536,52.827,0.7417,,121,4.795790546,0,1,0,0,1,0,1.572814369,0,0,NORFOLK,,
Crabhouse Priory,,Wiggenhall,7,Augustinian,,Canonesses,1536,52.645282,0.364065,,30,3.401197382,0,1,0,0,1,0,1.23342949,1,30,NORFOLK,,
