Grid-cell,Longitude,Latitude,pdsi_1535,pdsi_1536,pdsi_1535x1536,pdsi_avg_1yr,pdsi_ext_1yr,pdsi_avg_2yr,pdsi_ext_2yr,pdsi_avg_3yr,pdsi_ext_3yr,pdsi_avg_5yr,pdsi_ext_5yr,pdsi_avg_10yr,pdsi_ext_10yr,bng_x,bng_y
3998,34.25,62.25,1.736,2.152,3.735872,-2.152,2.152,-1.944,1.944,-2.879,2.879,-1.9995999999999998,2.5944000000000003,-0.6839999999999999,1.7332,2206403.0943076396,1905370.072868827
3999,34.75,62.25,2.316,2.599,6.019284,-2.599,2.599,-2.4575,2.4575,-3.0683333333333334,3.0683333333333334,-2.0317999999999996,2.6362,-0.7238,1.7334,2229014.3519990267,1920179.0347097835
4000,36.25,62.25,0.434,1.1,0.47740000000000005,-1.1,1.1,-0.767,0.767,-1.3083333333333333,1.3083333333333333,-0.9710000000000001,1.3774000000000002,0.3565999999999999,1.5307999999999997,2296224.31237886,1965826.6653599022
4001,36.75,62.25,-2.799,-2.051,5.740749,2.051,2.051,2.425,2.425,1.7299999999999998,1.7299999999999998,0.9390000000000001,1.2114,1.6835999999999998,1.8198,2318413.2970263725,1981448.75452442
4002,37.25,62.25,-2.134,-1.75,3.7344999999999997,1.75,1.75,1.942,1.942,1.5579999999999998,1.5579999999999998,1.1598,1.1598,1.8596,1.8596,2340491.873908152,1997273.5522157084
4003,37.75,62.25,-3.23,-2.394,7.732620000000001,2.394,2.394,2.8120000000000003,2.8120000000000003,2.5356666666666667,2.5356666666666667,2.5124000000000004,2.5124000000000004,2.848,2.848,2362458.0745970756,2013300.790845994
4004,38.25,62.25,-0.078,0.803,-0.06263400000000001,-0.803,0.803,-0.36250000000000004,0.4405,1.0636666666666665,1.599,2.9126,3.2338,4.5932,4.7538,2384309.9145758506,2029530.1826194539
4005,38.75,62.25,2.26,1.14,2.5763999999999996,-1.14,1.14,-1.6999999999999997,1.6999999999999997,-2.4233333333333333,2.4233333333333333,-1.3581999999999999,2.2201999999999997,0.2840000000000001,2.098,2406045.393391104,2045961.4189111255
4006,39.25,62.25,1.724,2.061,3.5531639999999998,-2.061,2.061,-1.8925,1.8925,-2.260333333333333,2.260333333333333,-1.2526,2.069,0.44060000000000005,2.1014,2427662.4948248807,2062594.1696421215
4007,39.75,62.25,4.04,4.434,17.91336,-4.434,4.434,-4.237,4.237,-3.251,3.251,-1.3195999999999999,2.5816000000000003,-0.45430000000000004,1.5935000000000001,2449159.187083899,2079428.0826515774
4008,40.25,62.25,4.583,3.937,18.043271,-3.937,3.937,-4.26,4.26,-3.5236666666666667,3.5236666666666667,-1.3212,2.9072,-0.06860000000000004,2.0456,2470533.423006907,2096462.7830657475
4009,40.75,62.25,-1.296,-3.038,3.937248,3.038,3.038,2.167,2.167,1.538,1.538,2.6117999999999997,2.6117999999999997,2.4319999999999995,2.4319999999999995,2491783.140290478,2113697.872664669
4010,41.25,62.25,3.016,1.996,6.019936,-1.996,1.996,-2.5060000000000002,2.5060000000000002,-2.280666666666667,2.280666666666667,-0.29560000000000003,2.4412000000000003,0.4195999999999998,1.7884,2512906.261733574,2131132.929246913
4011,41.75,62.25,-0.999,-2.728,2.7252720000000004,2.728,2.728,1.8635000000000002,1.8635000000000002,1.3073333333333335,1.3073333333333335,2.4094,2.4094,2.5808,2.5808,2533900.695501221,2148767.505992841
4012,42.25,62.25,-0.354,-3.329,1.178466,3.329,3.329,1.8415000000000001,1.8415000000000001,1.0536666666666668,1.4016666666666666,2.0664000000000002,2.2752000000000003,2.9671999999999996,3.0716,2554764.3354075695,2166601.130826937
